tier,city,year,n,n_ground,share_ground,n_floor,share_floor,n_horizontal_nonfloor,share_horizontal_nonfloor,n_non_horizontal,share_non_horizontal,n_no_plane,share_no_plane,n_surface,share_surface,n_surface_level_floor,share_surface_excl_level_floor,ratio_flat_p50,ratio_pp_p50,camera_height_pp_p50
0.30,bend,2019,905,192,0.212155,710,0.78453,0,0,3,0.00331492,0,0,831,0.918232,159,0.742541,0.899726,1.00171,2.3519
0.30,bend,2021,740,134,0.181081,602,0.813514,0,0,4,0.00540541,0,0,680,0.918919,146,0.721622,0.910042,0.993493,2.3857
0.30,bend,2024,42237,8403,0.198949,33815,0.800601,14,0.000331463,5,0.00011838,0,0,39184,0.927717,7006,0.761844,0.903867,0.992461,2.3743
0.30,bend,2025,1191,206,0.172964,985,0.827036,0,0,0,0,0,0,1041,0.874055,213,0.695214,0.89508,0.982516,2.3815
0.30,paterson,2018,1474,218,0.147897,1245,0.84464,2,0.00135685,9,0.00610583,0,0,1313,0.890773,288,0.695387,0.9038,1.00245,2.3555
0.30,paterson,2019,1468,227,0.154632,1238,0.843324,1,0.000681199,2,0.0013624,0,0,1286,0.876022,321,0.657357,0.924707,1.00271,2.3928
0.30,paterson,2020,2931,456,0.155578,2459,0.838963,6,0.00204708,10,0.0034118,0,0,2635,0.899011,466,0.74002,0.903052,0.998829,2.3578
0.30,paterson,2021,1824,277,0.151864,1540,0.844298,4,0.00219298,3,0.00164474,0,0,1649,0.904057,413,0.677632,0.915453,1.00708,2.3606
0.30,paterson,2024,7950,1065,0.133962,6853,0.862013,12,0.00150943,20,0.00251572,0,0,6978,0.877736,1813,0.649686,0.917979,1.0043,2.3806
0.30,paterson,2025,16251,2839,0.174697,13179,0.810965,82,0.00504584,151,0.00929174,0,0,14707,0.90499,271,0.888315,0.731301,1.0116,1.8755
0.30,gainesville,2021,323,63,0.195046,260,0.804954,0,0,0,0,0,0,290,0.897833,48,0.749226,0.876839,1.0084,2.3173
0.30,gainesville,2022,759,192,0.252964,556,0.732543,1,0.00131752,10,0.0131752,0,0,693,0.913043,90,0.794466,0.881869,0.995444,2.3077
0.30,gainesville,2023,946,196,0.207188,749,0.791755,0,0,1,0.00105708,0,0,864,0.913319,135,0.770613,0.885473,0.99295,2.3377
0.30,gainesville,2024,2325,490,0.210753,1826,0.785376,1,0.000430108,8,0.00344086,0,0,2102,0.904086,458,0.707097,0.900354,1.0034,2.3458
0.30,gainesville,2025,890,245,0.275281,641,0.720225,1,0.0011236,3,0.00337079,0,0,808,0.907865,125,0.767416,0.885378,0.999062,2.3047
0.30,gainesville,2026,14107,4229,0.29978,9849,0.698164,8,0.000567094,21,0.00148862,0,0,13455,0.953782,190,0.940313,0.692001,1.00866,1.8035
0.30,sao_paulo,2021,573,124,0.216405,400,0.69808,24,0.0418848,25,0.04363,0,0,409,0.713787,68,0.595113,0.878012,1.08831,1.7303
0.30,sao_paulo,2022,705,126,0.178723,569,0.807092,1,0.00141844,9,0.012766,0,0,600,0.851064,81,0.73617,0.875942,1.01221,2.2346
0.30,sao_paulo,2023,1411,255,0.180723,1135,0.804394,0,0,21,0.0148831,0,0,1216,0.8618,190,0.727144,0.892093,1.00968,2.2885
0.30,sao_paulo,2024,8045,1301,0.161715,6653,0.826973,4,0.000497203,87,0.0108142,0,0,6935,0.862026,1320,0.697949,0.891875,1.01259,2.287
0.30,sao_paulo,2025,6602,873,0.132233,5623,0.851712,18,0.00272645,88,0.0133293,0,0,5456,0.826416,986,0.677068,0.886224,1.01569,2.2499
0.55,bend,2019,905,192,0.212155,710,0.78453,0,0,3,0.00331492,0,0,831,0.918232,159,0.742541,0.899726,1.00171,2.3519
0.55,bend,2021,740,134,0.181081,602,0.813514,0,0,4,0.00540541,0,0,680,0.918919,146,0.721622,0.910042,0.993493,2.3857
0.55,bend,2024,42237,8403,0.198949,33815,0.800601,14,0.000331463,5,0.00011838,0,0,39184,0.927717,7006,0.761844,0.903867,0.992461,2.3743
0.55,bend,2025,1191,206,0.172964,985,0.827036,0,0,0,0,0,0,1041,0.874055,213,0.695214,0.89508,0.982516,2.3815
0.55,paterson,2018,1288,199,0.154503,1082,0.840062,1,0.000776398,6,0.00465839,0,0,1158,0.899068,256,0.700311,0.904705,1.00218,2.3576
0.55,paterson,2019,1259,208,0.16521,1048,0.832407,1,0.000794281,2,0.00158856,0,0,1115,0.885624,280,0.663225,0.924707,1.0013,2.3928
0.55,paterson,2020,2441,404,0.165506,2026,0.829988,3,0.001229,8,0.00327735,0,0,2224,0.911102,400,0.747235,0.903379,0.99846,2.3637
0.55,paterson,2021,1589,241,0.151668,1344,0.845815,2,0.00125865,2,0.00125865,0,0,1449,0.911894,375,0.675897,0.915102,1.00766,2.3628
