tier,city,payload_status,n,n_ground,n_floor,n_horizontal_nonfloor,n_non_horizontal,n_no_plane,share_ground,share_floor,share_horizontal_nonfloor,share_non_horizontal,share_no_plane,n_surface,share_surface,n_surface_level_floor,share_surface_excl_level_floor,non_horizontal_tilt_p50
0.30,bend,measured,45219,8977,36216,14,12,0,0.198523,0.800902,0.000309604,0.000265375,0,41872,0.925982,7537,0.759305,88.4307
0.30,bend,degenerate,31,31,0,0,0,0,1,0,0,0,0,31,1,0,1,
0.30,bend,implausible,2,1,1,0,0,0,0.5,0.5,0,0,0,2,1,0,1,
0.30,bend,no_file,18,,,,,,,,,,,,,,,
0.30,bend,synthetic_ground,6273,4197,2069,3,4,0,0.669058,0.329826,0.00047824,0.000637653,0,6095,0.971624,0,0.971624,89.829
0.30,paterson,measured,32188,5138,26747,108,195,0,0.159625,0.830962,0.00335529,0.00605816,0,28812,0.895116,3634,0.782217,88.7911
0.30,paterson,implausible,4,1,3,0,0,0,0.25,0.75,0,0,0,4,1,1,0.75,
0.30,paterson,no_file,81,,,,,,,,,,,,,,,
0.30,paterson,synthetic_ground,2837,1889,935,5,8,0,0.665844,0.329573,0.00176243,0.00281988,0,2720,0.958759,0,0.958759,88.9772
0.30,gainesville,measured,19664,5529,14079,13,43,0,0.281174,0.715978,0.000661107,0.00218674,0,18488,0.940195,1086,0.884967,89.2717
0.30,gainesville,degenerate,11,11,0,0,0,0,1,0,0,0,0,11,1,0,1,
0.30,gainesville,implausible,16,11,5,0,0,0,0.6875,0.3125,0,0,0,16,1,0,1,
0.30,gainesville,no_file,2199,,,,,,,,,,,,,,,
0.30,gainesville,synthetic_ground,2192,1673,506,2,11,0,0.76323,0.230839,0.000912409,0.00501825,0,2127,0.970347,0,0.970347,89.5484
0.30,sao_paulo,measured,17861,2759,14812,52,238,0,0.154471,0.829293,0.00291137,0.0133251,0,15041,0.842114,2731,0.689211,88.3952
0.30,sao_paulo,implausible,22,6,13,0,3,0,0.272727,0.590909,0,0.136364,0,15,0.681818,0,0.681818,28.2636
0.30,sao_paulo,no_file,6463,,,,,,,,,,,,,,,
0.30,sao_paulo,synthetic_ground,3003,1961,966,3,73,0,0.653014,0.321678,0.000999001,0.024309,0,2817,0.938062,0,0.938062,88.3592
0.30,pooled,measured,114932,22403,91854,187,488,0,0.194924,0.799203,0.00162705,0.00424599,0,104213,0.906736,14988,0.776329,88.7354
0.30,pooled,degenerate,42,42,0,0,0,0,1,0,0,0,0,42,1,0,1,
0.30,pooled,implausible,44,19,22,0,3,0,0.431818,0.5,0,0.0681818,0,37,0.840909,1,0.818182,28.2636
0.30,pooled,no_file,8761,,,,,,,,,,,,,,,
0.30,pooled,synthetic_ground,14305,9720,4476,13,96,0,0.679483,0.312898,0.000908773,0.00671094,0,13759,0.961832,0,0.961832,88.6653
0.55,bend,measured,45219,8977,36216,14,12,0,0.198523,0.800902,0.000309604,0.000265375,0,41872,0.925982,7537,0.759305,88.4307
0.55,bend,degenerate,31,31,0,0,0,0,1,0,0,0,0,31,1,0,1,
0.55,bend,implausible,2,1,1,0,0,0,0.5,0.5,0,0,0,2,1,0,1,
0.55,bend,no_file,18,,,,,,,,,,,,,,,
0.55,bend,synthetic_ground,6273,4197,2069,3,4,0,0.669058,0.329826,0.00047824,0.000637653,0,6095,0.971624,0,0.971624,89.829
0.55,paterson,measured,27277,4590,22455,74,158,0,0.168274,0.823221,0.00271291,0.00579243,0,24673,0.904535,3073,0.791876,88.7354
0.55,paterson,implausible,2,1,1,0,0,0,0.5,0.5,0,0,0,2,1,1,0.5,
0.55,paterson,no_file,69,,,,,,,,,,,,,,,
0.55,paterson,synthetic_ground,2408,1585,812,5,6,0,0.658223,0.337209,0.00207641,0.00249169,0,2318,0.962625,0,0.962625,30.4994
0.55,gainesville,measured,12659,3728,8907,4,20,0,0.294494,0.70361,0.000315981,0.0015799,0,12037,0.950865,666,0.898254,89.3713
0.55,gainesville,degenerate,6,6,0,0,0,0,1,0,0,0,0,6,1,0,1,
0.55,gainesville,implausible,6,6,0,0,0,0,1,0,0,0,0,6,1,0,1,
0.55,gainesville,no_file,1483,,,,,,,,,,,,,,,
0.55,gainesville,synthetic_ground,1420,1082,331,1,6,0,0.761972,0.233099,0.000704225,0.00422535,0,1385,0.975352,0,0.975352,89.7391
0.55,sao_paulo,measured,10440,1736,8579,17,108,0,0.166284,0.821743,0.00162835,0.0103448,0,8969,0.8591,1638,0.702203,88.2139
0.55,sao_paulo,implausible,14,5,8,0,1,0,0.357143,0.571429,0,0.0714286,0,10,0.714286,0,0.714286,28.2636
0.55,sao_paulo,no_file,3942,,,,,,,,,,,,,,,
0.55,sao_paulo,synthetic_ground,1763,1177,550,0,36,0,0.667612,0.311968,0,0.0204197,0,1671,0.947816,0,0.947816,88.3592
0.55,pooled,measured,95595,19031,76157,109,298,0,0.199079,0.796663,0.00114023,0.00311732,0,87551,0.915853,12914,0.780763,88.7354
0.55,pooled,degenerate,37,37,0,0,0,0,1,0,0,0,0,37,1,0,1,
0.55,pooled,implausible,24,13,10,0,1,0,0.541667,0.416667,0,0.0416667,0,20,0.833333,1,0.791667,28.2636
0.55,pooled,no_file,5512,,,,,,,,,,,,,,,
0.55,pooled,synthetic_ground,11864,8041,3762,9,52,0,0.677765,0.317094,0.000758597,0.00438301,0,11469,0.966706,0,0.966706,88.5178
