city,gt_group,subset,n,n_ground,share_ground,n_floor,share_floor,n_horizontal_nonfloor,share_horizontal_nonfloor,n_non_horizontal,share_non_horizontal,n_no_plane,share_no_plane,n_surface,share_surface,n_surface_level_floor,share_surface_excl_level_floor,n_non_surface,surface_lo,surface_hi,n_floor_with_ref,offset_n_<-0.3,"offset_n_[-0.3,-0.05)","offset_n_[-0.05,0.05)","offset_n_[0.05,0.3)",offset_n_>=0.3,offset_local_median,offset_local_median_lo,offset_local_median_hi,n_floor_nonlevel,offset_local_median_nonlevel,offset_local_median_nonlevel_lo,offset_local_median_nonlevel_hi,n_floor_level,offset_local_median_level,offset_local_median_level_lo,offset_local_median_level_hi,statuses
bend,true,measured,198,36,0.181818,162,0.818182,0,0,0,0,0,0,185,0.934343,38,0.742424,13,0.890921,0.961232,162,2,25,56,68,11,0.0410367,0.0211497,0.0647934,120,0.0199472,0.00536223,0.0396869,42,0.106968,0.0678144,0.162688,measured=198
bend,true,not_measured,50,42,0.84,8,0.16,0,0,0,0,0,0,50,1,0,1,0,0.92865,1,8,0,2,3,3,0,0.0429706,-0.273612,0.192007,8,0.0429706,-0.273612,0.192007,0,,,,synthetic_ground=50
bend,false,measured,7,1,0.142857,6,0.857143,0,0,0,0,0,0,7,1,1,0.857143,0,0.645661,1,6,0,3,1,2,0,-0.0220286,-0.244663,0.279406,5,-0.0896836,-0.244663,0.0632822,1,0.279406,0.279406,0.279406,measured=7
bend,false,not_measured,4,3,0.75,1,0.25,0,0,0,0,0,0,4,1,0,1,0,0.5101,1,1,0,0,0,1,0,0.177972,0.177972,0.177972,1,0.177972,0.177972,0.177972,0,,,,synthetic_ground=4
bend,missed,measured,56,9,0.160714,45,0.803571,2,0.0357143,0,0,0,0,49,0.875,6,0.767857,7,0.763743,0.93811,45,1,8,15,17,4,0.0367522,0.00205638,0.0725491,38,0.0290543,-0.0289843,0.0795665,7,0.0640358,0.0147262,0.405563,measured=56
bend,missed,not_measured,23,12,0.521739,11,0.478261,0,0,0,0,0,0,23,1,0,1,0,0.856879,1,11,0,0,6,5,0,0.0271131,-0.0244042,0.123528,11,0.0271131,-0.0244042,0.123528,0,,,,synthetic_ground=23
bend,unsure,measured,4,0,0,4,1,0,0,0,0,0,0,2,0.5,0,0.5,2,0.150036,0.849964,4,1,1,1,0,1,-0.141279,-0.306868,0.333419,3,-0.250417,-0.306868,-0.0321414,1,0.333419,0.333419,0.333419,measured=4
bend,unsure,not_measured,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.206543,1,0,0,0,0,0,0,,,,0,,,,0,,,,synthetic_ground=1
bend,duplicate,measured,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.206543,1,0,0,0,0,0,0,,,,0,,,,0,,,,measured=1
bend,duplicate,not_measured,0,0,,0,,0,,0,,0,,0,,0,,0,0,1,0,0,0,0,0,0,,,,0,,,,0,,,,
bend,unsure_missed,measured,62,3,0.0483871,58,0.935484,0,0,1,0.016129,0,0,54,0.870968,10,0.709677,8,0.765504,0.933142,58,0,8,19,24,7,0.0580082,0.0323624,0.123346,45,0.038795,-0.00921896,0.122544,13,0.156918,0.0437774,1.27591,measured=62
bend,unsure_missed,not_measured,10,6,0.6,4,0.4,0,0,0,0,0,0,10,1,0,1,0,0.72246,1,4,0,1,0,3,0,0.125971,-0.075801,0.13449,4,0.125971,-0.075801,0.13449,0,,,,synthetic_ground=10
paterson,true,measured,244,41,0.168033,202,0.827869,1,0.00409836,0,0,0,0,219,0.897541,29,0.778689,25,0.853125,0.929633,201,6,31,53,94,17,0.059468,0.0466169,0.0836341,165,0.0462878,0.0255432,0.0604528,36,0.173094,0.120522,0.226604,measured=244
paterson,true,not_measured,26,14,0.538462,12,0.461538,0,0,0,0,0,0,25,0.961538,0,0.961538,1,0.811068,0.993178,11,0,0,5,6,0,0.0594324,-0.00521014,0.107764,11,0.0594324,-0.00521014,0.107764,0,,,,synthetic_ground=26
paterson,false,measured,5,1,0.2,4,0.8,0,0,0,0,0,0,5,1,0,1,0,0.565509,1,4,0,2,0,2,0,-0.0178255,-0.135711,0.178898,4,-0.0178255,-0.135711,0.178898,0,,,,measured=5
paterson,false,not_measured,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.206543,1,1,0,0,0,1,0,0.0868023,0.0868023,0.0868023,1,0.0868023,0.0868023,0.0868023,0,,,,synthetic_ground=1
paterson,missed,measured,116,14,0.12069,102,0.87931,0,0,0,0,0,0,98,0.844828,11,0.75,18,0.768013,0.899535,100,5,15,32,37,11,0.0377378,0.0160542,0.0795866,86,0.0303089,-0.00626545,0.0729158,14,0.139183,0.0307862,0.335314,measured=116
paterson,missed,not_measured,9,5,0.555556,4,0.444444,0,0,0,0,0,0,9,1,0,1,0,0.700847,1,4,0,2,1,1,0,-0.0556435,-0.255775,0.0914742,4,-0.0556435,-0.255775,0.0914742,0,,,,synthetic_ground=9
paterson,unsure,measured,6,3,0.5,3,0.5,0,0,0,0,0,0,5,0.833333,0,0.833333,1,0.436491,0.969947,3,0,1,1,0,1,0.00543495,-0.0876024,0.975344,3,0.00543495,-0.0876024,0.975344,0,,,,measured=6
paterson,unsure,not_measured,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.206543,1,1,0,0,0,1,0,0.128764,0.128764,0.128764,1,0.128764,0.128764,0.128764,0,,,,synthetic_ground=1
paterson,duplicate,measured,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.206543,1,1,0,0,0,1,0,0.0751178,0.0751178,0.0751178,1,0.0751178,0.0751178,0.0751178,0,,,,measured=1
paterson,duplicate,not_measured,0,0,,0,,0,,0,,0,,0,,0,,0,0,1,0,0,0,0,0,0,,,,0,,,,0,,,,
paterson,unsure_missed,measured,35,1,0.0285714,34,0.971429,0,0,0,0,0,0,27,0.771429,6,0.6,8,0.609824,0.879343,34,3,7,12,7,5,0.00356148,-0.0445428,0.14126,25,-0.0315612,-0.150823,0.0355795,9,0.214872,-0.0818674,1.1168,measured=35
paterson,unsure_missed,not_measured,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.206543,1,1,0,0,0,1,0,0.0648251,0.0648251,0.0648251,1,0.0648251,0.0648251,0.0648251,0,,,,synthetic_ground=1
gainesville,true,measured,171,42,0.245614,129,0.754386,0,0,0,0,0,0,162,0.947368,10,0.888889,9,0.903011,0.972067,129,4,24,48,48,5,0.0331216,0.0102532,0.0523533,118,0.0227583,0.00364441,0.0426866,11,0.0880354,0.060788,0.218762,measured=171
gainesville,true,not_measured,18,14,0.777778,4,0.222222,0,0,0,0,0,0,18,1,0,1,0,0.824115,1,4,0,1,2,1,0,0.0154079,-0.120813,0.120359,4,0.0154079,-0.120813,0.120359,0,,,,synthetic_ground=18
gainesville,false,measured,9,2,0.222222,7,0.777778,0,0,0,0,0,0,8,0.888889,1,0.777778,1,0.564994,0.98011,7,0,0,4,2,1,0.0348875,-0.041267,0.397583,6,0.0952679,-0.041267,0.397583,1,0.0348875,0.0348875,0.0348875,measured=9
gainesville,false,not_measured,0,0,,0,,0,,0,,0,,0,,0,,0,0,1,0,0,0,0,0,0,,,,0,,,,0,,,,
gainesville,missed,measured,78,21,0.269231,56,0.717949,0,0,1,0.0128205,0,0,73,0.935897,4,0.884615,5,0.858562,0.972311,56,1,10,21,21,3,0.0283689,0.00331088,0.0776139,50,0.0239694,0.00197003,0.0548153,6,0.246259,-0.764161,0.312287,measured=78
gainesville,missed,not_measured,5,4,0.8,1,0.2,0,0,0,0,0,0,4,0.8,0,0.8,1,0.375528,0.963777,1,0,0,0,0,1,0.374073,0.374073,0.374073,1,0.374073,0.374073,0.374073,0,,,,synthetic_ground=5
gainesville,unsure,measured,5,0,0,5,1,0,0,0,0,0,0,5,1,0,1,0,0.565509,1,5,0,0,3,2,0,0.0374549,0.00275239,0.0592311,5,0.0374549,0.00275239,0.0592311,0,,,,measured=5
gainesville,unsure,not_measured,0,0,,0,,0,,0,,0,,0,,0,,0,0,1,0,0,0,0,0,0,,,,0,,,,0,,,,
gainesville,duplicate,measured,2,0,0,2,1,0,0,0,0,0,0,1,0.5,0,0.5,1,0.0945287,0.905471,2,1,0,0,1,0,-0.131427,-0.366322,0.103467,2,-0.131427,-0.366322,0.103467,0,,,,measured=2
gainesville,duplicate,not_measured,0,0,,0,,0,,0,,0,,0,,0,,0,0,1,0,0,0,0,0,0,,,,0,,,,0,,,,
gainesville,unsure_missed,measured,28,5,0.178571,23,0.821429,0,0,0,0,0,0,26,0.928571,3,0.821429,2,0.773543,0.980188,23,1,7,7,7,1,0.0326277,-0.0712291,0.118662,20,0.0205214,-0.0858921,0.118662,3,0.0445901,0.0326277,0.232233,measured=28
gainesville,unsure_missed,not_measured,3,3,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0.438494,1,0,0,0,0,0,0,,,,0,,,,0,,,,synthetic_ground=3
sao_paulo,true,measured,157,24,0.152866,129,0.821656,0,0,4,0.0254777,0,0,142,0.904459,29,0.719745,15,0.848352,0.941245,128,1,21,39,58,9,0.0551189,0.0164719,0.0914737,95,0.0164719,-0.00369241,0.0546629,33,0.176876,0.12631,0.233011,measured=157
