tier,city,split,n_floor,n_plane_d_exactly_2p5,plane_d_p50,n_with_ref,ref_d_p50,ref_tilt_p50,rows_to_ref_p50,range_depth_p50,offset_local_p50,offset_level_ref_p50,offset_ref_tilt_term_p50
0.30,bend,all,36216,8896,2.5,36127,2.38106,1.38959,8,12.4923,0.0523401,0.0259119,0.000201539
0.30,bend,nonlevel,27313,0,2.43446,27232,2.38658,1.27978,7,11.7233,0.0328937,0.0854704,-0.0445571
0.30,bend,level,8903,8896,2.5,8895,2.36392,1.65895,12,14.4079,0.118467,-0.134422,0.28045
0.30,paterson,all,26747,4521,2.32248,26713,2.11554,1.6433,5,14.1055,0.0484722,0.0107695,0.0172005
0.30,paterson,nonlevel,22219,0,2.17962,22189,2.00533,1.57097,5,13.7651,0.0333512,0.0640881,-0.024612
0.30,paterson,level,4528,4521,2.5,4524,2.35082,1.94893,12,14.4079,0.136825,-0.148235,0.320046
0.30,gainesville,all,14079,1422,1.95582,14050,1.87754,1.51064,6,13.262,0.0326642,0.00365252,0.0193608
0.30,gainesville,nonlevel,12657,0,1.91358,12628,1.85862,1.4694,6,12.9193,0.0229895,0.0337939,-0.00667848
0.30,gainesville,level,1422,1422,2.5,1422,2.32684,1.95455,10,14.9519,0.144775,-0.171405,0.381572
0.30,sao_paulo,all,14812,3966,2.44161,14785,2.27178,2.12394,8,13.0516,0.0622574,-0.0302376,0.0698071
0.30,sao_paulo,nonlevel,10846,0,2.32077,10824,2.27116,1.94209,6,12.6011,0.0292464,0.0638528,-0.0300398
0.30,sao_paulo,level,3966,3966,2.5,3961,2.27381,2.56078,12,14.4079,0.185025,-0.222505,0.447045
0.30,pooled,all,91854,18805,2.4162,91675,2.30634,1.56735,7,13.1636,0.0489505,0.0116412,0.01674
0.30,pooled,nonlevel,73035,0,2.31978,72873,2.28882,1.48015,6,12.787,0.0307387,0.0690218,-0.0311278
0.30,pooled,level,18819,18805,2.5,18802,2.34463,1.89072,12,14.4079,0.136127,-0.153626,0.324326
0.55,bend,all,36216,8896,2.5,36127,2.38106,1.38959,8,12.4923,0.0523401,0.0259119,0.000201539
0.55,bend,nonlevel,27313,0,2.43446,27232,2.38658,1.27978,7,11.7233,0.0328937,0.0854704,-0.0445571
0.55,bend,level,8903,8896,2.5,8895,2.36392,1.65895,12,14.4079,0.118467,-0.134422,0.28045
0.55,paterson,all,22455,3748,2.32021,22426,2.12017,1.61532,6,13.3178,0.0473732,0.0106112,0.0162543
0.55,paterson,nonlevel,18700,0,2.18192,18674,2.00391,1.54851,5,13.1023,0.0329021,0.0607148,-0.0219745
0.55,paterson,level,3755,3748,2.5,3752,2.35623,1.92122,13,14.4079,0.133148,-0.141752,0.303954
0.55,gainesville,all,8907,833,1.96789,8889,1.88273,1.49135,7,12.3495,0.0337463,0.0135306,0.0109168
0.55,gainesville,nonlevel,8074,0,1.92756,8056,1.86582,1.45616,6,12.1243,0.0256753,0.0390646,-0.0104466
0.55,gainesville,level,833,833,2.5,833,2.33508,1.92732,11,14.4079,0.138459,-0.163078,0.346909
0.55,sao_paulo,all,8579,2280,2.44302,8561,2.28496,2.05519,8,11.7644,0.0612629,-0.0303074,0.0657877
0.55,sao_paulo,nonlevel,6299,0,2.33176,6284,2.27987,1.87805,7,11.3957,0.0288884,0.0567158,-0.0232764
0.55,sao_paulo,level,2280,2280,2.5,2277,2.29939,2.49371,13,14.4079,0.176541,-0.198393,0.412687
0.55,pooled,all,76157,15757,2.43377,76003,2.32539,1.52329,7,12.6559,0.049235,0.0154979,0.011968
0.55,pooled,nonlevel,60386,0,2.34472,60246,2.31373,1.43885,6,12.3081,0.0313948,0.0706988,-0.0324447
0.55,pooled,level,15771,15757,2.5,15757,2.35419,1.81305,12,14.4079,0.129492,-0.144178,0.305981
