tier,city,range_bin,n,n_no_plane,n_no_plane_3x3,rate_no_plane,rate_no_plane_3x3
0.30,bend,0-5,2717,0,0,0,0
0.30,bend,5-10,14534,0,0,0,0
0.30,bend,10-15,12952,0,0,0,0
0.30,bend,15-20,3980,0,0,0,0
0.30,bend,20-25,9348,0,0,0,0
0.30,bend,25+,1685,0,0,0,0
0.30,bend,horizon,3,0,0,0,0
0.30,paterson,0-5,522,0,0,0,0
0.30,paterson,5-10,8213,0,0,0,0
0.30,paterson,10-15,7159,0,0,0,0
0.30,paterson,15-20,2448,0,0,0,0
0.30,paterson,20-25,8267,0,0,0,0
0.30,paterson,25+,5525,0,3,0,0.000542986
0.30,paterson,horizon,54,0,0,0,0
0.30,gainesville,0-5,351,0,0,0,0
0.30,gainesville,5-10,4157,0,0,0,0
0.30,gainesville,10-15,4770,0,0,0,0
0.30,gainesville,15-20,1848,0,0,0,0
0.30,gainesville,20-25,5941,0,0,0,0
0.30,gainesville,25+,2596,0,0,0,0
0.30,gainesville,horizon,1,0,0,0,0
0.30,sao_paulo,0-5,628,0,0,0,0
0.30,sao_paulo,5-10,5308,0,0,0,0
0.30,sao_paulo,10-15,4759,0,0,0,0
0.30,sao_paulo,15-20,1611,0,0,0,0
0.30,sao_paulo,20-25,4334,0,0,0,0
0.30,sao_paulo,25+,1183,0,1,0,0.000845309
0.30,sao_paulo,horizon,38,0,0,0,0
0.30,pooled,0-5,4218,0,0,0,0
0.30,pooled,5-10,32212,0,0,0,0
0.30,pooled,10-15,29640,0,0,0,0
0.30,pooled,15-20,9887,0,0,0,0
0.30,pooled,20-25,27890,0,0,0,0
0.30,pooled,25+,10989,0,4,0,0.000364
0.30,pooled,horizon,96,0,0,0,0
0.55,bend,0-5,2717,0,0,0,0
0.55,bend,5-10,14534,0,0,0,0
0.55,bend,10-15,12952,0,0,0,0
0.55,bend,15-20,3980,0,0,0,0
0.55,bend,20-25,9348,0,0,0,0
0.55,bend,25+,1685,0,0,0,0
0.55,bend,horizon,3,0,0,0,0
0.55,paterson,0-5,448,0,0,0,0
0.55,paterson,5-10,7550,0,0,0,0
0.55,paterson,10-15,6555,0,0,0,0
0.55,paterson,15-20,2135,0,0,0,0
0.55,paterson,20-25,6773,0,0,0,0
0.55,paterson,25+,3792,0,1,0,0.000263713
0.55,paterson,horizon,24,0,0,0,0
0.55,gainesville,0-5,172,0,0,0,0
0.55,gainesville,5-10,3019,0,0,0,0
0.55,gainesville,10-15,3467,0,0,0,0
0.55,gainesville,15-20,1188,0,0,0,0
0.55,gainesville,20-25,3540,0,0,0,0
0.55,gainesville,25+,1273,0,0,0,0
0.55,gainesville,horizon,0,0,0,,
0.55,sao_paulo,0-5,382,0,0,0,0
0.55,sao_paulo,5-10,3553,0,0,0,0
0.55,sao_paulo,10-15,2967,0,0,0,0
0.55,sao_paulo,15-20,841,0,0,0,0
0.55,sao_paulo,20-25,2221,0,0,0,0
0.55,sao_paulo,25+,469,0,0,0,0
0.55,sao_paulo,horizon,7,0,0,0,0
0.55,pooled,0-5,3719,0,0,0,0
0.55,pooled,5-10,28656,0,0,0,0
0.55,pooled,10-15,25941,0,0,0,0
0.55,pooled,15-20,8144,0,0,0,0
0.55,pooled,20-25,21882,0,0,0,0
0.55,pooled,25+,7219,0,1,0,0.000138523
0.55,pooled,horizon,34,0,0,0,0
