tier,city,reference,n_floor,n_with_ref,n_<-0.3,"n_[-0.3,-0.05)","n_[-0.05,0.05)","n_[0.05,0.3)",n_>=0.3,p10,p25,median,median_lo,median_hi,p75,p90,rows_to_ref_p50
0.30,bend,local,36216,36127,607,5941,11185,15769,2625,-0.106063,-0.0171834,0.0523401,0.0509947,0.0536701,0.139856,0.255367,8
0.30,bend,dominant,36216,36216,1698,7082,8022,14631,4783,-0.176466,-0.0454295,0.0637206,0.061727,0.065729,0.189389,0.349483,
0.30,bend,local_nonlevel,27313,27232,580,5715,9077,10566,1294,-0.127774,-0.0424576,0.0328936,0.0311377,0.0344784,0.109696,0.20807,7
0.30,bend,local_level,8903,8895,27,226,2108,5203,1331,0.01076,0.0457686,0.118467,0.115326,0.122634,0.225873,0.35504,12
0.30,paterson,local,26747,26713,804,4787,7926,10961,2235,-0.131175,-0.0306671,0.0484722,0.0466449,0.050022,0.138573,0.26909,5
0.30,paterson,dominant,26747,26746,2407,5342,5242,9204,4551,-0.273216,-0.0761624,0.0566571,0.0536969,0.0595471,0.208051,0.459531,
0.30,paterson,local_nonlevel,22219,22189,765,4636,7052,8352,1384,-0.14988,-0.0470544,0.0333512,0.0318335,0.0350955,0.114094,0.227231,5
0.30,paterson,local_level,4528,4524,39,151,874,2609,851,0.0101514,0.0546711,0.136815,0.131635,0.141877,0.252326,0.414637,12
0.30,gainesville,local,14079,14050,305,2645,5067,5247,786,-0.11967,-0.0350079,0.0326672,0.0306406,0.0346277,0.107363,0.217606,6
0.30,gainesville,dominant,14079,14079,858,2984,3950,5117,1170,-0.198545,-0.0618181,0.033533,0.030829,0.0359478,0.130563,0.270964,
0.30,gainesville,local_nonlevel,12657,12628,292,2620,4818,4435,463,-0.129748,-0.0427516,0.0229864,0.020871,0.0251854,0.0922847,0.181707,6
0.30,gainesville,local_level,1422,1422,13,25,249,812,323,0.021134,0.064464,0.144809,0.134924,0.155643,0.286515,0.44346,10
0.30,sao_paulo,local,14812,14785,494,2482,3909,5891,2009,-0.136267,-0.0230841,0.0622574,0.0593496,0.0648708,0.181116,0.359052,8
0.30,sao_paulo,dominant,14812,14812,1616,2742,2620,4827,3007,-0.328799,-0.085108,0.0657492,0.0617937,0.0697787,0.243874,0.521482,
0.30,sao_paulo,local_nonlevel,10846,10824,475,2417,3279,3855,798,-0.175425,-0.0582182,0.0292349,0.0266977,0.0317937,0.116543,0.249347,6
0.30,sao_paulo,local_level,3966,3961,19,65,630,2036,1211,0.0218483,0.0747932,0.185025,0.179023,0.195314,0.34617,0.562694,12
0.30,pooled,local,91854,91675,2210,15855,28087,37868,7655,-0.119011,-0.0249771,0.0489505,0.0481289,0.0499477,0.13985,0.270501,7
0.30,pooled,dominant,91854,91853,6579,18150,19834,33779,13511,-0.226241,-0.0617844,0.0562411,0.0549422,0.0576694,0.19152,0.390848,
0.30,pooled,local_nonlevel,73035,72873,2112,15388,24226,27208,3939,-0.141468,-0.04583,0.0307387,0.0297469,0.0316122,0.108683,0.215105,6
0.30,pooled,local_level,18819,18802,98,467,3861,10660,3716,0.0131691,0.0541442,0.136135,0.133685,0.138772,0.259929,0.417625,12
0.55,bend,local,36216,36127,607,5941,11185,15769,2625,-0.106063,-0.0171834,0.0523401,0.0509947,0.0536701,0.139856,0.255367,8
0.55,bend,dominant,36216,36216,1698,7082,8022,14631,4783,-0.176466,-0.0454295,0.0637206,0.061727,0.065729,0.189389,0.349483,
0.55,bend,local_nonlevel,27313,27232,580,5715,9077,10566,1294,-0.127774,-0.0424576,0.0328936,0.0311377,0.0344784,0.109696,0.20807,7
0.55,bend,local_level,8903,8895,27,226,2108,5203,1331,0.01076,0.0457686,0.118467,0.115326,0.122634,0.225873,0.35504,12
0.55,paterson,local,22455,22426,620,3978,6849,9256,1723,-0.125403,-0.0290337,0.0473789,0.0455889,0.0490216,0.134897,0.25907,6
0.55,paterson,dominant,22455,22455,1841,4508,4583,7879,3644,-0.255523,-0.0706193,0.0560165,0.0529623,0.0591597,0.199988,0.440299,
0.55,paterson,local_nonlevel,18700,18674,589,3857,6105,7048,1075,-0.142693,-0.044842,0.0329037,0.031204,0.0347582,0.110835,0.220321,5
0.55,paterson,local_level,3755,3752,31,121,744,2208,648,0.0109517,0.0529322,0.13314,0.127066,0.138807,0.240962,0.392756,13
0.55,gainesville,local,8907,8889,158,1630,3246,3433,422,-0.113752,-0.0314995,0.0337463,0.0314968,0.0362963,0.105752,0.204076,7
0.55,gainesville,dominant,8907,8907,442,1815,2546,3426,678,-0.174924,-0.0516323,0.0386086,0.0355123,0.0413511,0.132503,0.258792,
0.55,gainesville,local_nonlevel,8074,8056,150,1619,3095,2929,263,-0.120122,-0.0387183,0.0256649,0.0229833,0.0282563,0.092752,0.176232,6
0.55,gainesville,local_level,833,833,8,11,151,504,159,0.0196155,0.0646265,0.138459,0.125949,0.153043,0.26033,0.394473,11
0.55,sao_paulo,local,8579,8561,262,1432,2303,3498,1066,-0.129367,-0.0210236,0.0612629,0.0574156,0.0647997,0.174647,0.342112,8
0.55,sao_paulo,dominant,8579,8579,867,1621,1597,2865,1629,-0.302925,-0.0807946,0.0628934,0.0572075,0.0683514,0.230709,0.495535,
0.55,sao_paulo,local_nonlevel,6299,6284,253,1402,1927,2266,436,-0.169621,-0.0567516,0.0288742,0.0259023,0.0326925,0.115893,0.238655,7
0.55,sao_paulo,local_level,2280,2277,9,30,376,1232,630,0.0218225,0.0721704,0.176541,0.16596,0.183396,0.323702,0.536606,13
0.55,pooled,local,76157,76003,1647,12981,23583,31956,5836,-0.114448,-0.0229234,0.049235,0.048255,0.0502025,0.137366,0.260579,7
0.55,pooled,dominant,76157,76157,4848,15026,16748,28801,10734,-0.208095,-0.0564035,0.0579664,0.0564328,0.0594272,0.188445,0.375998,
0.55,pooled,local_nonlevel,60386,60246,1572,12593,20204,22809,3068,-0.135278,-0.0438121,0.0313961,0.0304687,0.0325154,0.108119,0.210588,6
0.55,pooled,local_level,15771,15757,75,388,3379,9147,2768,0.0125092,0.0518026,0.129492,0.126892,0.132496,0.242771,0.389757,12
