tier,city,reference,bin_lo_m,n
0.30,bend,dominant,-1,153
0.30,bend,dominant,-0.95,18
0.30,bend,dominant,-0.9,28
0.30,bend,dominant,-0.85,33
0.30,bend,dominant,-0.8,33
0.30,bend,dominant,-0.75,34
0.30,bend,dominant,-0.7,44
0.30,bend,dominant,-0.65,77
0.30,bend,dominant,-0.6,93
0.30,bend,dominant,-0.55,109
0.30,bend,dominant,-0.5,165
0.30,bend,dominant,-0.45,224
0.30,bend,dominant,-0.4,302
0.30,bend,dominant,-0.35,385
0.30,bend,dominant,-0.3,583
0.30,bend,dominant,-0.25,825
0.30,bend,dominant,-0.2,1250
0.30,bend,dominant,-0.15,1841
0.30,bend,dominant,-0.1,2583
0.30,bend,dominant,-0.05,3317
0.30,bend,dominant,0,4705
0.30,bend,dominant,0.05,4473
0.30,bend,dominant,0.1,3609
0.30,bend,dominant,0.15,2797
0.30,bend,dominant,0.2,2190
0.30,bend,dominant,0.25,1562
0.30,bend,dominant,0.3,1173
0.30,bend,dominant,0.35,824
0.30,bend,dominant,0.4,608
0.30,bend,dominant,0.45,495
0.30,bend,dominant,0.5,344
0.30,bend,dominant,0.55,229
0.30,bend,dominant,0.6,220
0.30,bend,dominant,0.65,141
0.30,bend,dominant,0.7,125
0.30,bend,dominant,0.75,89
0.30,bend,dominant,0.8,97
0.30,bend,dominant,0.85,57
0.30,bend,dominant,0.9,48
0.30,bend,dominant,0.95,333
0.30,bend,local,-1,12
0.30,bend,local,-0.95,2
0.30,bend,local,-0.9,4
0.30,bend,local,-0.85,6
0.30,bend,local,-0.8,13
0.30,bend,local,-0.75,6
0.30,bend,local,-0.7,11
0.30,bend,local,-0.65,27
0.30,bend,local,-0.6,30
0.30,bend,local,-0.55,33
0.30,bend,local,-0.5,49
0.30,bend,local,-0.45,88
0.30,bend,local,-0.4,131
0.30,bend,local,-0.35,195
0.30,bend,local,-0.3,294
0.30,bend,local,-0.25,476
0.30,bend,local,-0.2,869
0.30,bend,local,-0.15,1623
0.30,bend,local,-0.1,2679
0.30,bend,local,-0.05,3976
0.30,bend,local,0,7209
0.30,bend,local,0.05,6000
0.30,bend,local,0.1,4090
0.30,bend,local,0.15,2777
0.30,bend,local,0.2,1771
0.30,bend,local,0.25,1131
0.30,bend,local,0.3,805
0.30,bend,local,0.35,566
0.30,bend,local,0.4,365
0.30,bend,local,0.45,261
0.30,bend,local,0.5,153
0.30,bend,local,0.55,109
0.30,bend,local,0.6,88
0.30,bend,local,0.65,56
0.30,bend,local,0.7,42
0.30,bend,local,0.75,32
0.30,bend,local,0.8,28
0.30,bend,local,0.85,23
0.30,bend,local,0.9,13
0.30,bend,local,0.95,84
0.30,bend,local_level,-1,1
0.30,bend,local_level,-0.85,1
0.30,bend,local_level,-0.75,1
0.30,bend,local_level,-0.65,3
0.30,bend,local_level,-0.55,2
0.30,bend,local_level,-0.5,2
0.30,bend,local_level,-0.45,4
0.30,bend,local_level,-0.4,6
0.30,bend,local_level,-0.35,7
0.30,bend,local_level,-0.3,9
0.30,bend,local_level,-0.25,10
0.30,bend,local_level,-0.2,22
0.30,bend,local_level,-0.15,64
0.30,bend,local_level,-0.1,121
0.30,bend,local_level,-0.05,262
0.30,bend,local_level,0,1846
0.30,bend,local_level,0.05,1579
0.30,bend,local_level,0.1,1292
0.30,bend,local_level,0.15,1042
0.30,bend,local_level,0.2,757
0.30,bend,local_level,0.25,533
0.30,bend,local_level,0.3,401
0.30,bend,local_level,0.35,283
0.30,bend,local_level,0.4,190
0.30,bend,local_level,0.45,134
0.30,bend,local_level,0.5,91
0.30,bend,local_level,0.55,61
0.30,bend,local_level,0.6,42
0.30,bend,local_level,0.65,24
0.30,bend,local_level,0.7,24
0.30,bend,local_level,0.75,14
0.30,bend,local_level,0.8,13
0.30,bend,local_level,0.85,9
0.30,bend,local_level,0.9,8
0.30,bend,local_level,0.95,37
0.30,bend,local_nonlevel,-1,11
0.30,bend,local_nonlevel,-0.95,2
0.30,bend,local_nonlevel,-0.9,4
0.30,bend,local_nonlevel,-0.85,5
0.30,bend,local_nonlevel,-0.8,13
0.30,bend,local_nonlevel,-0.75,5
0.30,bend,local_nonlevel,-0.7,11
0.30,bend,local_nonlevel,-0.65,24
0.30,bend,local_nonlevel,-0.6,30
0.30,bend,local_nonlevel,-0.55,31
0.30,bend,local_nonlevel,-0.5,47
0.30,bend,local_nonlevel,-0.45,84
0.30,bend,local_nonlevel,-0.4,125
0.30,bend,local_nonlevel,-0.35,188
0.30,bend,local_nonlevel,-0.3,285
0.30,bend,local_nonlevel,-0.25,466
0.30,bend,local_nonlevel,-0.2,847
0.30,bend,local_nonlevel,-0.15,1559
0.30,bend,local_nonlevel,-0.1,2558
0.30,bend,local_nonlevel,-0.05,3714
0.30,bend,local_nonlevel,0,5363
0.30,bend,local_nonlevel,0.05,4421
0.30,bend,local_nonlevel,0.1,2798
0.30,bend,local_nonlevel,0.15,1735
0.30,bend,local_nonlevel,0.2,1014
0.30,bend,local_nonlevel,0.25,598
0.30,bend,local_nonlevel,0.3,404
