city,signal,dist_bin_m,vintage,n_pairs,r,rms_diff_over_sqrt2,abs_diff_p50,slope_abs_p50
bend,depth,0-5,all,272,0.17116368684836308,1.1440173872978412,0.7644036618920559,0.5938135387897655
bend,depth,0-5,same,211,0.2564434617900726,1.0612570405447435,0.7111356641851059,0.5954179494415464
bend,depth,0-5,different,61,-0.09709550166511109,1.3928669574781374,0.98142180067766,0.5285368150277832
bend,depth,5-10,all,18890,-0.07740846422706602,1.1913203228474523,0.6646781948919048,0.45477374803055637
bend,depth,5-10,same,17311,-0.0780515865714613,1.168127992123997,0.6391523060323332,0.44121894418867635
bend,depth,5-10,different,1579,-0.07246161836092489,1.4209736986020933,0.973617105939206,0.6575415583089954
bend,depth,10-15,all,47568,-0.032964460101602686,1.127905865366714,0.6454036098157354,0.454025856281441
bend,depth,10-15,same,45543,-0.03286381531758971,1.1169614334412772,0.631146334356074,0.44669794556781467
bend,depth,10-15,different,2025,-0.03461628247957184,1.3508267811649068,1.0596329372273439,0.6981286948495357
bend,depth,15-20,all,21864,0.01026645010653086,1.196880071108961,0.7775711254195724,0.51060471433999
bend,depth,15-20,same,18583,0.018413094862922866,1.165111064394433,0.7424812451631151,0.4888755949326382
bend,depth,15-20,different,3281,-0.024896910352562824,1.3629102743733559,0.9846389158170494,0.6357698697567283
bend,depth,20-30,all,73817,0.005611757429382003,1.171162336924021,0.7419795241656089,0.48877099348890696
bend,depth,20-30,same,65897,0.011504681714301038,1.14133392571925,0.7144378699661916,0.47302870466141417
bend,depth,20-30,different,7920,-0.02849296449784712,1.3948267160556864,0.9909978225701659,0.6327518424022477
bend,depth,30-50,all,156108,0.006020481657153244,1.2096353654004997,0.8001475899278092,0.5168241563675614
bend,depth,30-50,same,133677,0.01000247020483469,1.1831859308332195,0.7714062486612437,0.4987977369194686
bend,depth,30-50,different,22431,-0.012310008186464586,1.3566081260136325,0.9934075824197923,0.6400280641383479
bend,depth,50-80,all,194022,0.006857689813057489,1.2135876584670942,0.8075127708008989,0.5141493345371047
bend,depth,50-80,same,162772,0.007559714095542668,1.1969072228503526,0.7847373564366364,0.49999417091655646
bend,depth,50-80,different,31250,0.004166867564921241,1.2970069854949415,0.927476518874735,0.5966331318946709
bend,depth_well_determined,0-5,all,68,0.12794628953795065,0.6852774084930441,0.5142860539067189,0.4280105434417657
bend,depth_well_determined,0-5,same,48,0.1494682945794706,0.694729392768597,0.48537202397137436,0.580044250073961
bend,depth_well_determined,0-5,different,20,0.03759611712020086,0.6620422950124171,0.5548928464854158,0.376757824505815
bend,depth_well_determined,5-10,all,5755,0.002602181357828046,0.7323750316204276,0.4479167289082067,0.35470816959059465
bend,depth_well_determined,5-10,same,5228,0.00949371432681318,0.7061238873551786,0.41908714580717,0.34368910496189586
bend,depth_well_determined,5-10,different,527,-0.033802968064674956,0.9544559176939829,0.7517583128028025,0.5362165207593286
bend,depth_well_determined,10-15,all,14326,0.01375847030497397,0.7020618981875665,0.44069570694175075,0.36766173561227694
bend,depth_well_determined,10-15,same,13699,0.018380436367067536,0.6856089427532926,0.425100770880182,0.35987894361460265
bend,depth_well_determined,10-15,different,627,-0.037087595642428604,0.995851357446774,0.9143281273500258,0.591065775572066
bend,depth_well_determined,15-20,all,6237,0.012535959029269218,0.8385848492799295,0.6056714622579162,0.42573343297036526
bend,depth_well_determined,15-20,same,5283,0.020199433002321184,0.806123776902287,0.5733257216971919,0.4093841844956938
bend,depth_well_determined,15-20,different,954,-0.016624402735715926,0.9994392230419857,0.8024777356491679,0.5495258087901208
bend,depth_well_determined,20-30,all,21503,0.025384413158266016,0.788256411978746,0.559120826442542,0.40204278342279326
bend,depth_well_determined,20-30,same,19145,0.02249480053001805,0.7550684397083366,0.5344505005024942,0.38741730927220613
bend,depth_well_determined,20-30,different,2358,0.040007172440047145,1.0184353461025117,0.8170129720719985,0.5506151280533461
bend,depth_well_determined,30-50,all,45123,0.018282650683474403,0.8469066078502142,0.6127444508359039,0.42792099776757203
bend,depth_well_determined,30-50,same,38632,0.01914028828058102,0.8182956118540996,0.5843512167524004,0.4079796594402464
bend,depth_well_determined,30-50,different,6491,0.015606005677193387,1.0004022428940524,0.8089032179603354,0.5617170370512243
bend,depth_well_determined,50-80,all,56007,0.01879992741802902,0.8438930860762544,0.6264970665234262,0.42418832847494314
bend,depth_well_determined,50-80,same,46833,0.01861694154768292,0.8216753280289896,0.600903084812501,0.4110739897188676
bend,depth_well_determined,50-80,different,9174,0.020257773203016406,0.9492449512059028,0.7723560722685265,0.4996644848596865
bend,rig_attitude,0-5,all,272,0.4883207493703786,1.1246060501240343,0.6063503784171249,0.8604285320153341
bend,rig_attitude,0-5,same,211,0.5910989224109704,1.0412822825450279,0.5789740612435591,0.8741488103648624
bend,rig_attitude,0-5,different,61,0.015042252925238343,1.3744043704817386,0.6638926586664646,0.8103945526090969
bend,rig_attitude,5-10,all,18890,0.8397453994355014,0.7762742730906222,0.35384882876128854,0.9695779040901125
bend,rig_attitude,5-10,same,17311,0.8625288167608426,0.7318938899992667,0.3260310492256239,0.9754350619418468
bend,rig_attitude,5-10,different,1579,0.41817253521535735,1.1560307275894839,0.8547742891170645,0.9174493197904081
bend,rig_attitude,10-15,all,47568,0.8061875496995101,0.7873820519763824,0.34775246667825815,0.901183510954783
bend,rig_attitude,10-15,same,45543,0.8305919039404618,0.7403787697838105,0.3333975745968569,0.8993601363755
bend,rig_attitude,10-15,different,2025,0.061107331537918586,1.4949912666585603,1.2014098161148477,0.9353791793931048
bend,rig_attitude,15-20,all,21864,0.5728454182724914,1.2081669477845456,0.6773881258507771,0.9557291433426578
bend,rig_attitude,15-20,same,18583,0.6190076316948213,1.1739658141148457,0.6273994047603944,0.9614624410439998
bend,rig_attitude,15-20,different,3281,0.16406079999425488,1.3860404925135212,1.0505858709430087,0.9340759509798052
bend,rig_attitude,20-30,all,73817,0.5745256182450103,1.156604157120725,0.6284370419738999,0.912155911838532
bend,rig_attitude,20-30,same,65897,0.6191140397566816,1.1117453022508743,0.5864519088909269,0.911226054259206
bend,rig_attitude,20-30,different,7920,0.05447168089218856,1.4779623924002956,1.1090293401902225,0.9223674053340298
bend,rig_attitude,30-50,all,156108,0.4019129460841575,1.3375465256878296,0.8641892571754253,0.9008195634269763
bend,rig_attitude,30-50,same,133677,0.4446814444646624,1.316373147537595,0.8220968653500581,0.9044727352140872
bend,rig_attitude,30-50,different,22431,0.044106863640740755,1.4573634478925923,1.147193558090188,0.8784533823850947
bend,rig_attitude,50-80,all,194022,0.31146464597643514,1.4211077040243896,1.0075832835793597,0.894438764036025
bend,rig_attitude,50-80,same,162772,0.3400626716589779,1.423828500518657,0.9832587274374216,0.8985728691192982
