city,axis,subset,meta_bin_deg,n,depth_p25,depth_p50,depth_p75
bend,pitch,all,-8,94,-1.4982612659200971,-0.9442408381270958,0.08291294282099843
bend,pitch,all,-7,227,-0.9003001046993518,-0.44842041037796204,0.1421163741730946
bend,pitch,all,-6,369,-0.9453660490706954,-0.3545620075088916,0.2628705190238807
bend,pitch,all,-5,672,-0.8715918489088805,-0.3432690316268156,0.21297069494863863
bend,pitch,all,-4,1190,-0.8436223774117751,-0.330180572488843,0.1871159805858783
bend,pitch,all,-3,2338,-0.8056755708471931,-0.29742440152424243,0.16558290139980833
bend,pitch,all,-2,5767,-0.7565326162679226,-0.2784161374387897,0.15441883595589206
bend,pitch,all,-1,14318,-0.5885777921525284,-0.20302564604478499,0.180043005720638
bend,pitch,all,0,18606,-0.42880717779179806,-0.05117399241652124,0.3230665749959095
bend,pitch,all,1,12861,-0.3018897166170632,0.09039388835334808,0.5095593267690387
bend,pitch,all,2,5167,-0.2732525752912978,0.16215986594842033,0.6314778895465616
bend,pitch,all,3,2100,-0.27801900231924026,0.1877373268405965,0.6981037990903116
bend,pitch,all,4,1007,-0.24215197953856896,0.23200748878719152,0.7576244825839045
bend,pitch,all,5,530,-0.2984527525991439,0.1879333483280062,0.7761120885806643
bend,pitch,all,6,347,-0.33207423667019165,0.2596741994023266,0.8599246373743171
bend,pitch,all,7,234,-0.3993505863281523,0.2821862091736782,0.9956414855426134
bend,pitch,all,8,72,-0.39159215517770496,0.5820958336846938,1.2648249779923675
bend,pitch,well_determined,-8,25,-1.2295609309796214,-0.5054291062132815,0.2606330997559699
bend,pitch,well_determined,-7,85,-0.8480228406122406,-0.4622152907916045,-0.08229320808987357
bend,pitch,well_determined,-6,134,-0.8174276177593123,-0.43329281688659255,0.09755302289644868
bend,pitch,well_determined,-5,262,-0.7658860300026701,-0.3629073838928338,0.07481674235597109
bend,pitch,well_determined,-4,488,-0.662661999107595,-0.2962763984678365,0.1161931439294313
bend,pitch,well_determined,-3,1116,-0.6790065861562705,-0.2836728219190717,0.08129781737940045
bend,pitch,well_determined,-2,2941,-0.6602897214296227,-0.27276439194341395,0.0935372995208144
bend,pitch,well_determined,-1,7682,-0.5188712432007765,-0.1972207147472953,0.11731604073143384
bend,pitch,well_determined,0,9938,-0.3653408100377732,-0.05497880843950518,0.2575852009601689
bend,pitch,well_determined,1,6726,-0.24447257529858418,0.07617127396842771,0.4243159064724678
bend,pitch,well_determined,2,2645,-0.2062036522568414,0.14580727948657257,0.5303163972030396
bend,pitch,well_determined,3,968,-0.23368139039375332,0.14670244392289047,0.579312258086419
bend,pitch,well_determined,4,424,-0.15545794477577288,0.1999820681375764,0.5747898054274208
bend,pitch,well_determined,5,198,-0.19188426905911976,0.16400694560817372,0.5728714203608178
bend,pitch,well_determined,6,118,-0.03999443801382078,0.30300998535894474,0.6847560914336401
bend,pitch,well_determined,7,68,-0.1586030275203769,0.36697104028689664,0.7595634706486364
bend,pitch,well_determined,8,22,0.17379992609272332,0.522187918708176,1.1485693259589216
bend,roll,all,-8,6,-0.6574500458656822,2.1449844246470784,3.154137195317504
bend,roll,all,-7,8,0.052442672980244485,0.4294729070969835,0.4662441493507315
bend,roll,all,-6,20,0.42595498071727933,1.0583733032032405,2.020107173810793
bend,roll,all,-5,51,0.3980692120493194,1.2901884806713297,2.1887367095199513
bend,roll,all,-4,221,0.0669490381087894,1.1035749861886148,2.087165874173414
bend,roll,all,-3,949,-0.18110918065315204,0.6184329225379959,1.5341688680482342
bend,roll,all,-2,3353,-0.39748819729245216,0.4359628386211263,1.3012977437816748
bend,roll,all,-1,7740,-0.4684589221403997,0.3474125479961585,1.1089765973356032
bend,roll,all,0,18399,-0.9605617027820658,-0.24126693769411053,0.42448089893340213
bend,roll,all,1,26184,-1.607926633722695,-0.897165113878148,-0.1915508475662488
bend,roll,all,2,7139,-2.0490674507130486,-1.3210825062248657,-0.4834311136798945
bend,roll,all,3,1432,-2.2252447301255445,-1.2497344757578375,-0.35578281764433517
bend,roll,all,4,307,-2.440418420150562,-1.4413261420626833,-0.6095762104412363
bend,roll,all,5,53,-2.2679792396659293,-1.4178975423616988,-0.4416294212777128
bend,roll,all,6,23,-2.809120216035997,-2.370491119192753,-1.6584110638936407
bend,roll,all,7,8,-2.365069304383032,-1.5981082297758875,-1.1362048851037456
bend,roll,all,8,6,-2.4307172132516928,-2.0401392885054235,0.2599583768548366
bend,roll,well_determined,-7,4,0.4294729070969835,0.4662441493507315,0.4662441493507315
bend,roll,well_determined,-6,6,0.2427455566041156,0.7599015681878895,1.0583733032032405
bend,roll,well_determined,-5,23,0.3980692120493194,1.339703095838981,2.1786280600835863
bend,roll,well_determined,-4,81,-0.08672573330631905,0.8090439171960374,1.948969572014267
bend,roll,well_determined,-3,421,0.006558083055996279,0.6432252439247299,1.3896844249415925
bend,roll,well_determined,-2,1568,-0.18286295711490277,0.4437571490378898,1.205926263948842
bend,roll,well_determined,-1,3924,-0.2579481120707029,0.36715450396667565,0.983551878101215
bend,roll,well_determined,0,9616,-0.801653172587424,-0.22907477638146037,0.30321458782497523
bend,roll,well_determined,1,13763,-1.4500597819924415,-0.8633137539410419,-0.2766846226721751
bend,roll,well_determined,2,3596,-1.920362349093028,-1.3215189046005797,-0.5937384266199759
bend,roll,well_determined,3,687,-2.0782703574454247,-1.2322576534375829,-0.486911453823457
bend,roll,well_determined,4,131,-2.1824716329559872,-1.3229368402167136,-0.7351571872314312
bend,roll,well_determined,5,17,-2.4865499117549006,-1.7691139758706802,-0.9967815531680905
bend,roll,well_determined,6,2,-2.4909689482161306,-2.4909689482161306,-2.314299720285501
bend,roll,well_determined,8,1,0.2599583768548366,0.2599583768548366,0.2599583768548366
paterson,pitch,all,-8,55,-1.3892969833025943,-0.10340123806477483,0.7076836585556557
paterson,pitch,all,-7,35,-1.4638530100880087,0.07884811925355634,0.9454745934754
paterson,pitch,all,-6,115,-1.0719994394532706,-0.11168370711919223,0.829956001875407
paterson,pitch,all,-5,243,-0.9947954640801604,-0.23476388883152313,0.5157582202344384
paterson,pitch,all,-4,418,-0.7598427517689172,0.007050576495312572,0.8537388987754763
paterson,pitch,all,-3,911,-1.0620409675810936,-0.3113012554076952,0.47093830587094915
paterson,pitch,all,-2,2100,-0.7739684837217715,-0.08077441166601289,0.6307171919883806
paterson,pitch,all,-1,4554,-0.5754161840296091,-0.03856862910767192,0.5821339893013315
paterson,pitch,all,0,7734,-0.2581139281388366,0.2766771614927773,0.820322727649641
paterson,pitch,all,1,7138,-0.007563940908544961,0.5438586346409823,1.0739271793054805
paterson,pitch,all,2,3687,0.11498336240108628,0.7611614041586426,1.379843875464766
paterson,pitch,all,3,1559,0.1397644460076177,0.9131711354499594,1.5559017458985813
paterson,pitch,all,4,789,0.08199892005594925,0.9169015910969326,1.66482761840984
paterson,pitch,all,5,422,0.05639835748910483,1.0116245952816354,1.9126763852978028
paterson,pitch,all,6,227,0.3792089098736964,1.2906152245151257,2.2958139296520685
paterson,pitch,all,7,145,0.46543595608737937,1.6115374959614999,3.6456552715522346
paterson,pitch,all,8,203,1.4103834429845914,4.181041798374586,10.45558641152781
paterson,pitch,well_determined,-8,20,-0.6722377810364413,0.48177030973523105,0.7650930826781575
paterson,pitch,well_determined,-7,12,-2.1468455553001142,-0.24066936674060685,0.42433206430669496
paterson,pitch,well_determined,-6,52,-1.012514187796832,0.06800818677342167,0.8069939264310171
paterson,pitch,well_determined,-5,91,-0.8022179953017177,-0.20467222923761635,0.3285165117965688
paterson,pitch,well_determined,-4,192,-0.7288013113222986,-0.004554807300179217,0.673197021381939
paterson,pitch,well_determined,-3,401,-0.7859376590849897,-0.1249668849991791,0.4800345837469062
paterson,pitch,well_determined,-2,1031,-0.6252814881492117,-0.08077441166601289,0.4923862244756353
paterson,pitch,well_determined,-1,2338,-0.4758787189153713,-0.024959157341686675,0.5023731957728499
paterson,pitch,well_determined,0,4311,-0.15996194318459742,0.29715095387464535,0.7407185954020549
paterson,pitch,well_determined,1,4066,0.11304559905699475,0.5757056512948066,1.0183817170169254
paterson,pitch,well_determined,2,2108,0.3265720902465951,0.8623075025504952,1.3639283292812183
paterson,pitch,well_determined,3,790,0.4140630515777618,1.0026167124406549,1.4965021666547549
paterson,pitch,well_determined,4,381,0.3156321050020195,0.9916509954485245,1.6173354796371529
paterson,pitch,well_determined,5,202,0.19864613196439415,0.9902339581014036,1.90177586093811
paterson,pitch,well_determined,6,118,0.722869956096802,1.4499492852368971,2.1940501320399344
paterson,pitch,well_determined,7,67,1.0468034491552984,1.9680438981327704,5.263685609649692
paterson,pitch,well_determined,8,96,1.661148693194222,6.1830385958490535,10.212443297470477
paterson,roll,all,-8,1,2.2950928287330834,2.2950928287330834,2.2950928287330834
paterson,roll,all,-7,10,1.775044760386485,2.3076670944391555,6.427500818552107
paterson,roll,all,-6,19,1.7232382972170928,3.285618554858194,6.01927826700082
paterson,roll,all,-5,39,0.18140420972858506,1.8145703489847584,4.472716308274048
paterson,roll,all,-4,153,0.509545162704601,2.010747042168793,3.7450715376040975
paterson,roll,all,-3,611,0.31347040902930495,1.3256309041507626,2.6010719569257597
paterson,roll,all,-2,1699,-0.013737064503700078,0.9721720130267084,1.9552074336054275
paterson,roll,all,-1,4178,-0.4776088955276104,0.3591526301469221,1.1247084011376451
paterson,roll,all,0,8681,-1.036480498352971,-0.24234502470103872,0.46867157400760556
paterson,roll,all,1,9246,-1.6682728041561423,-0.9179389172531646,-0.18025557948786375
paterson,roll,all,2,4177,-2.3537090246819226,-1.5556782376788154,-0.7583673339748299
paterson,roll,all,3,1154,-3.012705328487708,-2.19408802469239,-1.2188016248355549
paterson,roll,all,4,278,-3.567656560208427,-2.5510889305149664,-1.4319210198985666
paterson,roll,all,5,67,-4.2049113203426,-2.6776422295993174,-1.6547760008089176
paterson,roll,all,6,14,-2.6989091090193993,-2.0435179661134244,-0.5092728256220104
paterson,roll,all,7,2,-2.4861776577075774,-2.4861776577075774,-2.311384888853599
paterson,roll,all,8,6,-3.707867621003768,-3.063599412746836,-2.2298587013671574
paterson,roll,well_determined,-8,1,2.2950928287330834,2.2950928287330834,2.2950928287330834
paterson,roll,well_determined,-7,4,1.775044760386485,1.9755552088330206,1.9755552088330206
paterson,roll,well_determined,-6,7,2.689942684810252,4.202985865398148,4.822494821021397
paterson,roll,well_determined,-5,23,0.18140420972858506,1.8145703489847584,4.318344529162348
paterson,roll,well_determined,-4,78,0.6550449165071233,2.010747042168793,3.7897069230590144
paterson,roll,well_determined,-3,318,0.6382021311233523,1.3531089485497165,2.558938975898301
paterson,roll,well_determined,-2,931,0.11664634253800586,0.964323533466045,1.7811934900953361
paterson,roll,well_determined,-1,2323,-0.2918475329212556,0.40595564359628256,1.0447010483991204
paterson,roll,well_determined,0,4799,-0.8129462845048346,-0.20367308814013682,0.3988313412101821
paterson,roll,well_determined,1,5064,-1.4657530742489338,-0.9011124811922815,-0.30044869123208334
paterson,roll,well_determined,2,2065,-2.210517543884526,-1.537271627429936,-0.865902269329874
paterson,roll,well_determined,3,513,-2.7787932983588215,-2.153831647686453,-1.4007829439751516
paterson,roll,well_determined,4,113,-3.5262896290702965,-2.5689166657842155,-1.4732920107713372
paterson,roll,well_determined,5,30,-4.250077519588555,-2.6776422295993174,-2.2879793063787006
paterson,roll,well_determined,6,4,-2.6989091090193993,-2.0435179661134244,-2.0435179661134244
paterson,roll,well_determined,7,1,-2.311384888853599,-2.311384888853599,-2.311384888853599
paterson,roll,well_determined,8,2,-3.707867621003768,-3.707867621003768,-2.2298587013671574
gainesville,pitch,all,-8,7,-0.6702596927336746,0.4296628140073219,0.689149151239476
gainesville,pitch,all,-7,11,-3.2141097988588916,-0.7353125225765601,0.36758583648900006
gainesville,pitch,all,-6,26,-2.508944566832157,-0.6935577350602016,0.5103646545465692
gainesville,pitch,all,-5,41,-3.0680562994575054,-1.2810743345175473,0.36537652639098017
gainesville,pitch,all,-4,137,-2.278035212771894,-1.0688571872702564,-0.13763068892146296
gainesville,pitch,all,-3,333,-2.0576870694166383,-0.5223572241879239,0.4258579439716223
gainesville,pitch,all,-2,815,-1.0254446416694234,-0.27953583409148436,0.4076465810737432
gainesville,pitch,all,-1,3083,-0.5600687928857357,-0.12034927892408133,0.4777405002069195
gainesville,pitch,all,0,8581,-0.06437335420101384,0.41761637605951835,0.8324561359965843
gainesville,pitch,all,1,12620,0.518560062910456,0.8479754808765717,1.1506989309489388
gainesville,pitch,all,2,3604,0.7076168054006031,1.0831962169479579,1.4830046518963331
gainesville,pitch,all,3,815,0.569343200774547,1.0739548630896154,1.67121717617876
gainesville,pitch,all,4,262,0.7457142393220428,1.350236032669989,1.9607468665367243
gainesville,pitch,all,5,81,0.6263803497414719,1.402310484553404,2.637732820346178
gainesville,pitch,all,6,38,0.6864494526813791,1.3223800749679617,2.401570541191976
gainesville,pitch,all,7,9,-0.588600361269458,0.8751448370196211,2.6284125996020657
gainesville,pitch,all,8,1,-5.737398021022532,-5.737398021022532,-5.737398021022532
gainesville,pitch,well_determined,-8,3,-0.6702596927336746,1.081111944231299,2.33010187560476
gainesville,pitch,well_determined,-7,4,0.36758583648900006,0.7316187136230127,0.7316187136230127
gainesville,pitch,well_determined,-6,11,-4.165433557267966,-0.2133459662220098,0.5705853786180077
gainesville,pitch,well_determined,-5,27,-2.7648089136398277,-1.0522099786653587,0.44434502929097747
gainesville,pitch,well_determined,-4,93,-2.236357918856082,-1.0347397366160176,-0.07972856706806264
gainesville,pitch,well_determined,-3,213,-1.8932950501062695,-0.47638563298922737,0.3578442398852598
gainesville,pitch,well_determined,-2,536,-0.940773577322197,-0.262579793222548,0.3987096183448802
gainesville,pitch,well_determined,-1,2159,-0.5190379732483016,-0.10872771917903797,0.4573832174235457
gainesville,pitch,well_determined,0,6273,-0.020238191510710053,0.44991113536037886,0.8300208850956508
gainesville,pitch,well_determined,1,9501,0.5621202832333869,0.8593272111253247,1.135494437863985
gainesville,pitch,well_determined,2,2703,0.7482064723599384,1.0831962169479579,1.457226485435073
gainesville,pitch,well_determined,3,585,0.640567227490182,1.0945690108185302,1.6787372997847059
gainesville,pitch,well_determined,4,189,0.7557282828620826,1.2936513571207406,1.9607468665367243
gainesville,pitch,well_determined,5,48,0.7910210075830305,1.4073965473872756,2.3115084468223603
gainesville,pitch,well_determined,6,25,0.7003531955231803,1.1722401093076402,2.1234282376932208
gainesville,pitch,well_determined,7,7,-0.013164742332594613,0.8751448370196211,1.0810158136282495
gainesville,pitch,well_determined,8,1,-5.737398021022532,-5.737398021022532,-5.737398021022532
gainesville,roll,all,-7,1,4.466145171213917,4.466145171213917,4.466145171213917
gainesville,roll,all,-6,7,2.422177128166214,2.6041356163155385,4.707483781161547
gainesville,roll,all,-5,38,1.5670259279712735,3.1912326156127366,3.928280591440147
gainesville,roll,all,-4,164,0.7894644770515645,1.9108022696957694,3.3868323779445966
gainesville,roll,all,-3,512,0.8967397757867147,2.0140535391156917,2.710039318253862
gainesville,roll,all,-2,1764,0.6205553462839277,1.4037159803496835,2.017354928904013
gainesville,roll,all,-1,4082,0.09704328928231526,0.6913259602332842,1.291156234796111
gainesville,roll,all,0,7073,-0.6226584415299057,-0.07848886891709345,0.48884798570154914
gainesville,roll,all,1,11588,-1.3706242841813605,-0.8055624855475807,-0.1736226395141001
gainesville,roll,all,2,4372,-2.1658983857368113,-1.5756180743942692,-0.8762167860355359
gainesville,roll,all,3,693,-2.913852388062531,-2.1843007151926295,-1.2689274917354765
gainesville,roll,all,4,121,-3.264538890595368,-2.325360939372257,-1.1829662344927467
gainesville,roll,all,5,38,-2.9444317246218654,-1.3030471811465165,-0.47370875706132565
gainesville,roll,all,6,9,-3.720347372836002,-2.942776947450947,-1.528448306674241
gainesville,roll,all,7,2,-4.067481499600709,-4.067481499600709,-1.5941581681728132
gainesville,roll,well_determined,-6,5,2.422177128166214,2.6041356163155385,4.740884163284041
gainesville,roll,well_determined,-5,23,2.388731207352137,3.5754665954455107,3.9290919192253573
gainesville,roll,well_determined,-4,114,0.8470613012978192,1.9108022696957694,3.2553797604297317
gainesville,roll,well_determined,-3,354,0.9442036597137565,2.0083256638477245,2.668376845740736
gainesville,roll,well_determined,-2,1277,0.7953211674785177,1.4790150605352503,1.9996517586414937
gainesville,roll,well_determined,-1,3005,0.1607886159901538,0.7165639891562715,1.2450889771214149
gainesville,roll,well_determined,0,5228,-0.566898482309218,-0.07585960565928115,0.4265785080471728
gainesville,roll,well_determined,1,8589,-1.31336710592053,-0.8057195539283252,-0.22928092055797766
gainesville,roll,well_determined,2,3152,-2.134079998315234,-1.5882642265744544,-0.93612027735384
gainesville,roll,well_determined,3,511,-2.9202764822883704,-2.259501808737494,-1.3806535764010492
gainesville,roll,well_determined,4,86,-3.3878972880003215,-2.6273234651830895,-1.4243707142081585
gainesville,roll,well_determined,5,26,-3.4549032146322265,-2.547065277378171,-0.6723906188895332
gainesville,roll,well_determined,6,6,-3.0622893835951004,-2.942776947450947,-0.4737657961674133
gainesville,roll,well_determined,7,2,-4.067481499600709,-4.067481499600709,-1.5941581681728132
sao_paulo,pitch,all,-8,54,-1.5199951688134308,-0.23408120771169358,1.3393398947289017
sao_paulo,pitch,all,-7,42,-3.4977496972340214,-0.6536795127077814,0.3713605218400457
sao_paulo,pitch,all,-6,73,-1.69303300698425,-0.4167573618442876,1.1058347289556518
sao_paulo,pitch,all,-5,118,-2.1276914826746594,-0.2825279784639327,1.0585766793361506
sao_paulo,pitch,all,-4,153,-1.7723770513519528,-0.3973385630630473,0.5356393149739346
