city,convention,n_sites,n_sites_before_intersection,n_pairs,mean_pair_m,median_pair_m,p90_pair_m,mean_pair_over_range,mean_pair_m_tilt_0-1.5,n_pairs_tilt_0-1.5,median_pair_m_grade_0-1.5,n_pairs_grade_0-1.5,median_pair_m_relroad_0-1.5,n_pairs_relroad_0-1.5,mean_pair_m_tilt_1.5-3,n_pairs_tilt_1.5-3,median_pair_m_grade_1.5-3,n_pairs_grade_1.5-3,median_pair_m_relroad_1.5-3,n_pairs_relroad_1.5-3,mean_pair_m_tilt_3-5,n_pairs_tilt_3-5,median_pair_m_grade_3-5,n_pairs_grade_3-5,median_pair_m_relroad_3-5,n_pairs_relroad_3-5,mean_pair_m_tilt_5-10,n_pairs_tilt_5-10,median_pair_m_grade_5-10,n_pairs_grade_5-10,median_pair_m_relroad_5-10,n_pairs_relroad_5-10,mean_pair_m_tilt_10+,n_pairs_tilt_10+,median_pair_m_grade_10+,n_pairs_grade_10+,median_pair_m_relroad_10+,n_pairs_relroad_10+
richmond,off,1079,1183,29249,3.2335559833240355,2.7273581022777895,6.490613566716833,0.25748879623618576,2.6767358789232736,2990,2.5560095842032986,17633,2.2023637378490775,10548,2.9307976686573713,11168,2.988531413818792,4952,2.6439419493873015,8013,3.372206624255978,9908,3.2773584326566105,1883,3.7389176923329575,4177,3.8560393756088756,4111,3.187965158294374,423,3.675281350642197,1646,4.272098142203632,1072,3.6617191908282494,87,4.491581481321942,594
richmond,documented,1079,1183,29249,3.575771599971528,2.3447394902836294,7.29906945138145,0.23894169496035217,2.620620082090588,2990,2.0084058082845906,17633,1.9625330619846484,10548,2.760603079880411,11168,3.009760881662569,4952,2.233353009004244,8013,3.3469321531453384,9908,4.163059715736822,1883,3.102242082334536,4177,5.501102917924682,4111,4.864224076497251,423,3.780527024949353,1646,9.463839941286897,1072,3.4000734628485407,87,4.9745989303809655,594
richmond,pitch-flipped,1079,1183,29249,5.438699023920273,3.7650702298413483,11.077525568990737,0.3738382785271536,3.1399178360551643,2990,3.466349497155661,17633,2.899680863757479,10548,3.9892471087727146,11168,4.490358491466466,4952,3.633735966704613,8013,5.835480887098369,9908,4.735817635416651,1883,6.11915642569882,4177,8.840271897153436,4111,5.555692921477376,423,5.594974761483411,1646,10.238749357739742,1072,3.6244148028877854,87,6.092038135041428,594
richmond,roll-flipped,1079,1183,29249,5.046954680209655,3.4158619918712074,9.875136335054293,0.33624024109470096,2.931167949542434,2990,3.167064847997938,17633,3.0830727247373027,10548,3.8651421363394642,11168,3.694614219790929,4952,3.3933324954019537,8013,5.298531299782079,9908,4.7122349095686245,1883,3.506607289713072,4177,7.783055285812843,4111,5.408116144760148,423,4.968602548782165,1646,10.44243423084305,1072,3.915672649868063,87,6.203675981632011,594
richmond,both-flipped,1079,1183,29249,6.080849580055761,4.369878049035829,11.789572958301028,0.4297614706233883,3.391100710182933,2990,4.095012212317726,17633,3.5957338696120864,10548,4.764072722066322,11168,4.916453738110908,4952,4.242071704787101,8013,6.910642227378112,9908,4.884222657805238,1883,6.044710719461664,4177,9.32406448368335,4111,4.858501051166842,423,5.719207795135254,1646,7.194348696159261,1072,4.621025414706634,87,6.018484198043517,594
richmond,pitch-only,1079,1183,29249,3.6392822639336946,2.5918619769810696,7.282990793968419,0.2562919378526604,2.6705935730192367,2990,2.2909814115604825,17633,2.2173070684635707,10548,2.9540384757222027,11168,3.0570416277490784,4952,2.55571465609454,8013,3.6765357559986755,9908,4.114389603774348,1883,3.058179157414021,4177,5.130459731117863,4111,4.958884108983769,423,3.653054937543768,1646,7.417121485581285,1072,4.01417724067105,87,4.961031484691924,594
richmond,roll-only,1079,1183,29249,3.2642022177958276,2.57944363836797,6.7143673297420206,0.24780612405930103,2.623299222571406,2990,2.3657515311263158,17633,2.0272865210493958,10548,2.7798519338843346,11168,2.9462689858253217,4952,2.4500966064584664,8013,3.2477998478476136,9908,3.183518329887396,1883,3.806445082134898,4177,4.457919857756977,4111,3.640199939275816,423,3.91657450099475,1646,5.671539335343587,1072,2.9221614741710966,87,4.655346536388861,594
richmond,road-relative,1079,1183,29249,3.360119415548525,2.2036979985632654,6.889704457777372,0.22802820939519583,2.6930569164500633,2990,1.8927925931279987,17633,1.7709745153001462,10548,2.8048864758884973,11168,2.7484281102534354,4952,2.128625920967573,8013,3.2027356197727563,9908,3.481925090884771,1883,2.7926978443547035,4177,4.717447520721975,4111,3.729011679127541,423,3.593340094832199,1646,7.254467503800253,1072,3.697874990508284,87,5.033105238466121,594
clovis,off,1532,1560,22468,3.031190579529617,2.5518855722144207,6.138762308010885,0.24339262046220045,2.233024201394826,1612,2.507838790263432,20556,2.3303541284664537,11961,2.568335834337138,7562,2.698938550777522,614,2.6519939750730557,7765,3.181988647977939,9583,2.403841091350351,49,3.4108556747585754,1411,3.9316632000519927,3711,3.1448629839955142,101,3.3649203230944287,176,,0,3.29266601551689,73,3.6156940197909586,80
clovis,documented,1532,1560,22468,2.1386747697378925,1.5379685301312622,4.700209299409441,0.16157939022009288,1.988344104995543,1612,1.5019309697697434,20556,1.4756838032346973,11961,2.0262514505302054,7562,1.8021783354683594,614,1.5848183760378054,7765,2.148291839761854,9583,1.7645357376965463,49,1.490095119375211,1411,2.4082295499517357,3711,1.9507247869849982,101,1.1961117156381365,176,,0,3.019852609857664,73,3.0620027884161103,80
