city,tilt_bucket,n_dets,n_both,n_flat_only,n_tilt_only,displacement_p50,displacement_p90,range_ratio_p10,range_ratio_p50,range_ratio_p90
annapolis,0-1.5,4000,3617,75,0,0.5626130685218722,2.122386076723905,0.9161870266770992,1.0095663280486784,1.1086171461130163
annapolis,1.5-3,12383,10473,671,652,1.384738922212679,4.474930237713256,0.8140783489281084,1.023822421003619,1.2314564055290775
annapolis,10-90,14,9,2,3,4.329180148436871,13.850003195734912,0.3433214519377691,0.6340024093336885,0.8493176000521054
annapolis,3-5,10915,8936,590,1014,2.045485651022537,6.9455821978017145,0.7269743252687055,1.0197222986695669,1.4079355899734365
annapolis,5-10,1876,1412,142,295,2.6427033873497727,8.73828183192781,0.6202821922907344,0.9707374199569536,1.5648888203477178
clovis,0-1.5,1613,1568,16,0,0.5397991291788667,1.859062014081684,0.9208138242574682,0.9984156153086067,1.0959292870584152
clovis,1.5-3,3192,3026,62,53,1.3368488012422581,3.6061645576400716,0.8325059941957437,0.9798438039789925,1.2043140091653177
clovis,10-90,12,7,2,3,6.748706502777501,10.991326613614586,0.4002993139912764,0.9181358140576946,2.891724754333707
clovis,3-5,2959,2778,49,99,2.234712768599632,5.713610961564984,0.7450576316983296,0.9291179865451213,1.3684594758331523
clovis,5-10,1185,1090,28,53,3.3768744336700394,7.707519372641019,0.6847321110674017,0.8973828795895092,1.6378770999536367
laurens,0-1.5,95,95,0,0,0.5212263793518328,1.4480326021028678,0.9386529246595638,1.0129377969109972,1.0909788072728979
laurens,1.5-3,250,241,6,2,1.1167663268213674,3.154716220211547,0.8625316786460103,1.0351083982849683,1.2067937214520092
laurens,3-5,290,283,4,3,2.16788850632879,5.134794735746495,0.8264186893500806,1.163870858313147,1.4044580227115009
laurens,5-10,73,64,3,6,2.8190457669570326,7.630631919724741,0.79673746614965,1.2997479018924478,1.6908697082258226
morgantown,0-1.5,1840,1751,21,0,0.4285956012078783,1.9226877765989647,0.9165011081696472,0.9947180048747202,1.0828146382193589
morgantown,1.5-3,3109,2819,155,51,0.9700432694823761,3.5429963735808934,0.8387590765589512,0.9835386412254881,1.1853098138827383
morgantown,10-90,310,195,46,66,4.58266542959387,13.502642614312679,0.39477682846623924,0.7239151625121236,2.1664368151083275
morgantown,3-5,3070,2676,211,125,1.692810154982833,6.313890513962864,0.7324558254172994,0.968831182044997,1.3493504409936254
morgantown,5-10,2153,1706,254,171,2.6414560205313435,9.265978821241612,0.5749669154381913,0.9403014786952201,1.6009880061896178
richmond,0-1.5,2194,1891,42,0,0.4701804059984636,2.1319288939981247,0.9177752622854168,1.000069427529558,1.098071345057892
richmond,1.5-3,3031,2570,135,100,1.2213941880324488,3.897087344967118,0.8248872612697299,0.9975928531210236,1.1956776572175103
richmond,10-90,590,319,88,141,5.358250697353859,12.443809241306,0.5453691918984924,1.4700587140808699,2.7569622572972476
richmond,3-5,2295,1826,134,221,2.010410201050834,6.633426170862396,0.7339816433492513,1.0177903182166954,1.376729786394189
richmond,5-10,1416,924,169,219,3.2606758913307283,8.635655023182858,0.6443348938512793,1.0990601692249313,1.6900949642972933
