city,arm,sites_scored,sites_dropped_by_intersection,pool_ramps,gt_marks_dropped_by_intersection,n_common_matched,median_gt_to_site_m,p90_gt_to_site_m,mean_gt_to_site_m,precision,tp,fp,world_recall_2p5m,world_recall_5m,off_pool_ramps,recall_off_pool_2p5m,recall_off_pool_5m,gt_marks_unplaceable,gt_marks_unplaceable_vs_off,gravity_fallback_share_panos,gravity_fallback_share_members
richmond,off,830,740,211,99,82,1.2970804111073424,3.5328700403459323,1.7326386421231275,0.9036144578313253,75,8,0.8767772511848341,0.8862559241706162,253,0.8695652173913043,0.8814229249011858,57,0,,
richmond,gravity,830,740,211,99,82,1.1850764610983247,2.859906112339286,1.4276581724492998,0.9036144578313253,75,8,0.8720379146919431,0.8909952606635071,253,0.8142292490118577,0.8300395256916996,58,1,,
richmond,road,830,740,211,99,82,0.9726725637761703,2.7408024681928564,1.2670072804990704,0.9036144578313253,75,8,0.8815165876777251,0.8957345971563981,253,0.8300395256916996,0.841897233201581,59,2,0.06875687568756876,0.0875045012603529
richmond,road-shuffled-within,830,740,211,99,82,1.1957391865767912,3.0849080249311345,1.4401969051682846,0.9036144578313253,75,8,0.8720379146919431,0.8862559241706162,253,0.7905138339920948,0.8023715415019763,60,3,0.06875687568756876,0.0875045012603529
richmond,road-shuffled-across,830,740,211,99,82,1.3296943711737115,3.6430928933602957,1.6731739114177324,0.9036144578313253,75,8,0.8720379146919431,0.8862559241706162,253,0.7707509881422925,0.782608695652174,65,8,0.06875687568756876,0.0875045012603529
clovis,off,2195,300,168,27,129,1.2754392212769918,3.2792987129265065,1.5911725534485013,0.9137931034482759,106,10,0.8690476190476191,0.9285714285714286,174,0.8563218390804598,0.9137931034482759,21,0,,
clovis,gravity,2195,300,168,27,129,0.7676474176828283,2.458475509103457,1.0658097313644501,0.9137931034482759,106,10,0.9226190476190477,0.9464285714285714,174,0.9022988505747126,0.9252873563218391,14,-7,,
clovis,road,2195,300,168,27,129,0.8511682409964336,2.2634206915869153,1.07818379447219,0.9137931034482759,106,10,0.9107142857142857,0.9404761904761905,174,0.8908045977011494,0.9195402298850575,14,-7,0.05441849596569119,0.041726618705035974
clovis,road-shuffled-within,2195,300,168,27,129,0.7943101872098657,2.427298489261493,1.057008101884343,0.9137931034482759,106,10,0.9166666666666666,0.9464285714285714,174,0.896551724137931,0.9252873563218391,14,-7,0.05441849596569119,0.041726618705035974
clovis,road-shuffled-across,2195,300,168,27,129,0.7513836524819134,2.32920467548486,1.0887115227346333,0.9137931034482759,106,10,0.9166666666666666,0.9464285714285714,174,0.8908045977011494,0.9195402298850575,16,-5,0.05441849596569119,0.041726618705035974
morgantown,off,866,867,214,53,81,1.0013209516596324,2.7653690887851514,1.1939082119131035,0.971830985915493,69,2,0.8317757009345794,0.8551401869158879,250,0.816,0.84,17,0,,
morgantown,gravity,866,867,214,53,81,0.8463890749903521,2.311689923920561,1.157380529204883,0.971830985915493,69,2,0.8457943925233645,0.8551401869158879,250,0.792,0.804,22,5,,
morgantown,road,866,867,214,53,81,0.8618989687516417,2.2837458237110977,1.0904507111817512,0.971830985915493,69,2,0.8411214953271028,0.8551401869158879,250,0.812,0.84,21,4,0.0008318501895844618,0.0006800408024481469
morgantown,road-shuffled-within,866,867,214,53,81,1.0091020012125969,2.6008936547774657,1.2873057631445604,0.971830985915493,69,2,0.8411214953271028,0.8551401869158879,250,0.8,0.82,17,0,0.0008318501895844618,0.0006800408024481469
morgantown,road-shuffled-across,866,867,214,53,81,1.2010720314709633,3.1391047437136,1.4705110682216607,0.971830985915493,69,2,0.8271028037383178,0.8598130841121495,250,0.736,0.768,35,18,0.0008318501895844618,0.0006800408024481469
annapolis,off,2471,1547,211,83,95,1.3227158780882806,3.287034578450139,1.5410197295158752,0.978494623655914,91,2,0.8767772511848341,0.9004739336492891,241,0.8506224066390041,0.8838174273858921,53,0,,
annapolis,gravity,2471,1547,211,83,95,0.9911199531618701,2.81053706381866,1.284377005046324,0.978494623655914,91,2,0.8862559241706162,0.9052132701421801,241,0.8174273858921162,0.8340248962655602,56,3,,
annapolis,road,2471,1547,211,83,95,0.8725062446223667,2.4441831219993198,1.1654941955732911,0.978494623655914,91,2,0.8957345971563981,0.9052132701421801,241,0.8215767634854771,0.8423236514522822,50,-3,0.007608491452188616,0.010835471913316224
annapolis,road-shuffled-within,2471,1547,211,83,95,1.0232688979992812,2.7486703221033446,1.324286433844039,0.978494623655914,91,2,0.8815165876777251,0.9052132701421801,241,0.8091286307053942,0.8298755186721992,58,5,0.007608491452188616,0.010835471913316224
annapolis,road-shuffled-across,2471,1547,211,83,95,1.0826168521469781,2.847853709965995,1.3641710104693636,0.978494623655914,91,2,0.8862559241706162,0.9052132701421801,241,0.7925311203319502,0.8091286307053942,57,4,0.007608491452188616,0.010835471913316224
laurens,off,161,25,227,18,115,1.7879173800997745,3.836491915323205,2.007608224432023,0.8735632183908046,76,11,0.5286343612334802,0.6696035242290749,235,0.5106382978723404,0.6595744680851063,9,0,,
laurens,gravity,161,25,227,18,115,1.4254980245398228,2.673499005336253,1.4951714411655945,0.8735632183908046,76,11,0.6167400881057269,0.6828193832599119,235,0.6,0.6638297872340425,13,4,,
laurens,road,161,25,227,18,115,1.4255032387383173,2.614480524003407,1.5023473993544392,0.8735632183908046,76,11,0.6343612334801763,0.6828193832599119,235,0.6212765957446809,0.6638297872340425,12,3,0.0026708212775428445,0.0
laurens,road-shuffled-within,161,25,227,18,115,1.3313017932217153,2.7360193215496733,1.5265208139332251,0.8735632183908046,76,11,0.5991189427312775,0.6696035242290749,235,0.5829787234042553,0.6510638297872341,12,3,0.0026708212775428445,0.0
laurens,road-shuffled-across,161,25,227,18,115,1.397482513221327,2.693483571109971,1.5527026741672145,0.8735632183908046,76,11,0.6255506607929515,0.6784140969162996,235,0.6085106382978723,0.6638297872340425,9,0,0.0026708212775428445,0.0
