city,arm,sites_scored,sites_dropped_by_intersection,pool_ramps,gt_marks_dropped_by_intersection,n_common_matched,median_gt_to_site_m,p90_gt_to_site_m,mean_gt_to_site_m,precision,tp,fp,world_recall_2p5m,world_recall_5m,gravity_fallback_share_panos,gravity_fallback_share_members
richmond,off,1057,513,229,81,126,1.2970804111073424,3.417349408862224,1.624757950132575,0.937007874015748,119,8,0.8951965065502183,0.9039301310043668,,
richmond,gravity,1057,513,229,81,126,1.1439167935871246,2.859906112339286,1.4156693982790785,0.937007874015748,119,8,0.8864628820960698,0.9126637554585153,,
richmond,road,1057,513,229,81,126,0.9643906741914661,2.7408024681928564,1.2715136777438947,0.937007874015748,119,8,0.8995633187772926,0.9170305676855895,0.06875687568756876,0.07565560454861917
clovis,off,2311,184,169,26,141,1.3124288088215095,3.320489885825549,1.6350623365250188,0.9147286821705426,118,11,0.8757396449704142,0.9349112426035503,,
clovis,gravity,2311,184,169,26,141,0.8220764120420071,2.5254638267422402,1.1061674338971612,0.9147286821705426,118,11,0.9289940828402367,0.9526627218934911,,
clovis,road,2311,184,169,26,141,0.9001952564022342,2.3656336927578896,1.1200639366136063,0.9147286821705426,118,11,0.9171597633136095,0.9467455621301775,0.05441849596569119,0.039530899986823034
morgantown,off,1275,458,233,34,137,1.0501322136437705,3.072558153185454,1.3072069064926604,0.9741379310344828,113,3,0.8540772532188842,0.8969957081545065,,
morgantown,gravity,1275,458,233,34,137,0.8463890749903521,2.720375820353056,1.249262529698131,0.9741379310344828,113,3,0.8755364806866953,0.8969957081545065,,
morgantown,road,1275,458,233,34,137,0.8063925986813573,2.790862941920239,1.2100043727549648,0.9741379310344828,113,3,0.8583690987124464,0.9012875536480687,0.0008318501895844618,0.001012829169480081
annapolis,off,2873,1145,220,74,128,1.3571503572852996,3.5467784377309295,1.635569941007952,0.9836065573770492,120,2,0.8818181818181818,0.9272727272727272,,
annapolis,gravity,2873,1145,220,74,128,1.0848848814544434,2.8855078419513673,1.3841426640353287,0.9836065573770492,120,2,0.9,0.9227272727272727,,
annapolis,road,2873,1145,220,74,128,1.0307414599252913,2.7505174967519204,1.2954590818370078,0.9836065573770492,120,2,0.9045454545454545,0.9227272727272727,0.007608491452188616,0.010388666908826734
laurens,off,171,15,228,16,131,1.8310207160425354,3.82293580784782,2.0051395740048865,0.8804347826086957,81,11,0.5526315789473685,0.6929824561403509,,
laurens,gravity,171,15,228,16,131,1.5259952528133074,2.6777947682783627,1.5723206496441582,0.8804347826086957,81,11,0.6403508771929824,0.7105263157894737,,
laurens,road,171,15,228,16,131,1.5301401372542454,2.735641017962976,1.5807215816935924,0.8804347826086957,81,11,0.6578947368421053,0.706140350877193,0.0026708212775428445,0.0
