city,arm,sites_scored,sites_dropped_by_intersection,pool_ramps,gt_marks_dropped_by_intersection,n_common_matched,median_gt_to_site_m,p90_gt_to_site_m,mean_gt_to_site_m,precision,tp,fp,world_recall_2p5m,world_recall_5m,off_pool_ramps,recall_off_pool_2p5m,recall_off_pool_5m,gt_marks_unplaceable,gt_marks_unplaceable_vs_off,gravity_fallback_share_panos,gravity_fallback_share_members
richmond,off,802,768,211,99,76,1.2970804111073424,3.5328700403459323,1.703381408726728,0.8961038961038961,69,8,0.8767772511848341,0.8862559241706162,253,0.8695652173913043,0.8814229249011858,57,0,,
richmond,gravity,802,768,211,99,76,1.2006482509011023,2.859906112339286,1.435163183646981,0.8961038961038961,69,8,0.8720379146919431,0.8909952606635071,253,0.8142292490118577,0.8300395256916996,58,1,,
richmond,road,802,768,211,99,76,1.0004466873726228,2.7974318288758826,1.285187800324791,0.8961038961038961,69,8,0.8815165876777251,0.8957345971563981,253,0.8300395256916996,0.841897233201581,59,2,0.06875687568756876,0.08860759493670886
richmond,road-shuffled-within,802,768,211,99,76,1.1957391865767912,3.152568291965074,1.4459817691065442,0.8961038961038961,69,8,0.8720379146919431,0.8862559241706162,253,0.7905138339920948,0.8023715415019763,60,3,0.06875687568756876,0.08860759493670886
richmond,road-shuffled-across,802,768,211,99,76,1.4124243937857168,3.6430928933602957,1.6638964953732902,0.8961038961038961,69,8,0.8720379146919431,0.8862559241706162,253,0.7707509881422925,0.782608695652174,65,8,0.06875687568756876,0.08860759493670886
richmond,road-sfm-smoothed,802,768,211,99,76,1.0570026820507035,2.771661899942945,1.284029816414235,0.8961038961038961,69,8,0.8815165876777251,0.8957345971563981,253,0.8260869565217391,0.8379446640316206,61,4,0.06875687568756876,0.08860759493670886
richmond,road-dem,802,768,211,99,76,1.0757563181380065,2.723329480989018,1.2896712353246225,0.8961038961038961,69,8,0.8767772511848341,0.8909952606635071,253,0.8300395256916996,0.841897233201581,55,-2,0.06875687568756876,0.08860759493670886
richmond,road-dem-shuffled-within,802,768,211,99,76,1.178358176018557,3.3877639993928823,1.4668611996451488,0.8961038961038961,69,8,0.8720379146919431,0.8862559241706162,253,0.782608695652174,0.7944664031620553,66,9,0.06875687568756876,0.08860759493670886
clovis,off,2188,307,168,27,128,1.2754392212769918,3.2792987129265065,1.5881571297639523,0.9130434782608695,105,10,0.8690476190476191,0.9285714285714286,174,0.8563218390804598,0.9137931034482759,21,0,,
clovis,gravity,2188,307,168,27,128,0.7676474176828283,2.458475509103457,1.0608889011299125,0.9130434782608695,105,10,0.9226190476190477,0.9464285714285714,174,0.9022988505747126,0.9252873563218391,14,-7,,
clovis,road,2188,307,168,27,128,0.8511682409964336,2.2634206915869153,1.0782403917649541,0.9130434782608695,105,10,0.9107142857142857,0.9404761904761905,174,0.8908045977011494,0.9195402298850575,14,-7,0.05441849596569119,0.04171494785631518
clovis,road-shuffled-within,2188,307,168,27,128,0.7943101872098657,2.427298489261493,1.0568313184279083,0.9130434782608695,105,10,0.9166666666666666,0.9464285714285714,174,0.896551724137931,0.9252873563218391,14,-7,0.05441849596569119,0.04171494785631518
clovis,road-shuffled-across,2188,307,168,27,128,0.7513836524819134,2.32920467548486,1.087298081616002,0.9130434782608695,105,10,0.9166666666666666,0.9464285714285714,174,0.8908045977011494,0.9195402298850575,16,-5,0.05441849596569119,0.04171494785631518
clovis,road-sfm-smoothed,2188,307,168,27,128,0.8089428196533416,2.3167262427771824,1.0703477981659189,0.9130434782608695,105,10,0.9166666666666666,0.9404761904761905,174,0.896551724137931,0.9195402298850575,14,-7,0.05441849596569119,0.04171494785631518
clovis,road-dem,2188,307,168,27,128,0.8402518204948969,2.4862141924672025,1.0819176886895896,0.9130434782608695,105,10,0.9226190476190477,0.9464285714285714,174,0.9080459770114943,0.9310344827586207,13,-8,0.05441849596569119,0.04171494785631518
clovis,road-dem-shuffled-within,2188,307,168,27,128,0.7611591888556422,2.275784403700959,1.0466364608822432,0.9130434782608695,105,10,0.9226190476190477,0.9464285714285714,174,0.9022988505747126,0.9252873563218391,14,-7,0.05441849596569119,0.04171494785631518
morgantown,off,839,894,212,55,74,0.915040865901947,2.3357588943394596,1.1365499577866112,0.9710144927536232,67,2,0.8254716981132075,0.8490566037735849,250,0.808,0.832,17,0,,
morgantown,gravity,839,894,212,55,74,0.8430709183637553,2.311689923920561,1.1355041823526544,0.9710144927536232,67,2,0.8349056603773585,0.8490566037735849,250,0.78,0.796,22,5,,
