city,sequence,n_panos,make,model,pitch_mean,pitch_sd,roll_mean,roll_sd,tilt_p50
richmond,KF1p8noEahtr4liB5SUbkT,369,GoPro,GoPro Max,9.688175785688118,9.157531434940964,-6.947956845905978,4.649273342685283,13.141893537782893
richmond,neXd4zYCGbcF6kQ2ZvEimS,440,GoPro,GoPro Max,3.28437201455092,5.342538342107114,-5.100408244957979,4.096437396843572,7.92928788927288
richmond,fP2wSATCUL7BEiah1jqdyJ,378,GoPro,GoPro Max,0.5193934357996424,5.602389925996236,-5.9453503241428,4.41224131768774,7.906087067418137
richmond,aFO1tlKSnCyuzYDspvUb26,127,GoPro,GoPro Max,-0.18316172461862576,1.6292726969197555,0.13328972327093078,1.3738903227989452,1.6171133748845234
richmond,gfoIi7BvEYLVlNRyUasnCu,174,GoPro,GoPro Max,-4.179026919599064,3.529378497695514,1.3307306291521397,1.925753839941675,4.6736448140942235
richmond,ZKgN1oIYcrSmeAsBzTH40U,731,GoPro,GoPro Max,-13.54558558980247,5.722199378083516,3.2291100935788344,3.711624460095488,14.91574684431467
richmond,jKtaJMek7wQl5AOH28qdcm,509,GoPro,GoPro Max,1.192729542237788,2.767340543652603,5.255870456460761,2.8973327450771422,6.289148212435477
richmond,e6UapX4VBS3vIfkLxdObms,38,NCTECH LTD,iSTAR Pulsar,-1.4819289754831744,1.945830645533163,-7.04725813798194,11.479233778880891,4.240335329104581
richmond,uLfPk59sqn6KlyUbMW1NpI,108,GoPro,GoPro Max,-1.3599650934049183,1.3944812628751921,0.18188692349954969,1.5035277233999784,2.0097980338595196
richmond,8t4welqod7rSCbUnOiIxWh,11,NCTECH LTD,iSTAR Pulsar,-3.1991213344557545,3.0137433154452875,4.348235250205477,1.9724343237709148,4.663513435966567
richmond,6adFufAJGvqweLWsKkB2xY,37,NCTECH LTD,iSTAR Pulsar,-0.526067212982914,0.573271288081687,2.8914427032580234,0.9669684127803659,3.140097848528904
richmond,Smz1db2AuCyNLDf9UiHhjW,20,NCTECH LTD,iSTAR Pulsar,-3.4449174279285137,3.7867479108792454,4.19004840505758,2.2229237445496537,5.986053162153737
richmond,3fvIcyGTR0QqazCZVuLnx8,26,NCTECH LTD,iSTAR Pulsar,-1.6969231998175747,0.7428697344262473,2.4643870655136095,1.4347684019837683,2.946555707359438
