city,height_model,ref_group,variant,n_refs,n_box_vs_peak,box_vs_peak_px_p50,box_minus_peak_dy_px_median,px_p50,px_p90,abs_dx_px_p50,abs_dy_px_p50,dy_px_median,dist_m_p50,dist_m_p90,along_m_median
bend,2.6m,independent,full,41,0,,,4.477,15.309,4.143,1.938,-0.589,1.423,2.907,0.496
bend,2.6m,independent,loo,41,0,,,4.477,15.309,4.143,1.938,-0.589,1.423,2.907,0.496
bend,2.6m,independent,full_on_loo_rows,41,0,,,4.477,15.309,4.143,1.938,-0.589,1.423,2.907,0.496
bend,2.6m,box,full,0,0,,,,,,,,,,
bend,2.6m,box,loo,0,0,,,,,,,,,,
bend,2.6m,box,full_on_loo_rows,0,0,,,,,,,,,,
bend,2.6m,missed,full,41,0,,,4.477,15.309,4.143,1.938,-0.589,1.423,2.907,0.496
bend,2.6m,missed,loo,41,0,,,4.477,15.309,4.143,1.938,-0.589,1.423,2.907,0.496
bend,2.6m,missed,full_on_loo_rows,41,0,,,4.477,15.309,4.143,1.938,-0.589,1.423,2.907,0.496
bend,2.6m,peak,full,243,0,,,4.499,11.364,2.73,2.071,-0.365,0.718,2.697,0.147
bend,2.6m,peak,loo,230,0,,,6.282,20.181,4.533,2.841,-0.717,1.082,3.352,0.255
bend,2.6m,peak,full_on_loo_rows,230,0,,,4.722,12.13,3.163,2.232,-0.675,0.82,2.809,0.202
bend,2.6m,box_on_detection,full,0,0,,,,,,,,,,
bend,2.6m,box_on_detection,loo,0,0,,,,,,,,,,
bend,2.6m,box_on_detection,full_on_loo_rows,0,0,,,,,,,,,,
bend,per-pano,independent,full,45,0,,,3.741,18.666,2.851,1.746,0.992,1.495,3.167,-0.463
bend,per-pano,independent,loo,45,0,,,3.741,18.666,2.851,1.746,0.992,1.495,3.167,-0.463
bend,per-pano,independent,full_on_loo_rows,45,0,,,3.741,18.666,2.851,1.746,0.992,1.495,3.167,-0.463
bend,per-pano,box,full,0,0,,,,,,,,,,
bend,per-pano,box,loo,0,0,,,,,,,,,,
bend,per-pano,box,full_on_loo_rows,0,0,,,,,,,,,,
bend,per-pano,missed,full,45,0,,,3.741,18.666,2.851,1.746,0.992,1.495,3.167,-0.463
bend,per-pano,missed,loo,45,0,,,3.741,18.666,2.851,1.746,0.992,1.495,3.167,-0.463
bend,per-pano,missed,full_on_loo_rows,45,0,,,3.741,18.666,2.851,1.746,0.992,1.495,3.167,-0.463
bend,per-pano,peak,full,243,0,,,4.865,12.681,3.242,2.138,1.083,0.819,2.154,-0.224
bend,per-pano,peak,loo,227,0,,,6.929,20.4,5.049,2.891,1.8,1.16,2.751,-0.386
bend,per-pano,peak,full_on_loo_rows,227,0,,,5.138,13.053,3.53,2.406,1.342,0.852,2.185,-0.3
bend,per-pano,box_on_detection,full,0,0,,,,,,,,,,
bend,per-pano,box_on_detection,loo,0,0,,,,,,,,,,
bend,per-pano,box_on_detection,full_on_loo_rows,0,0,,,,,,,,,,
paterson,2.6m,independent,full,130,76,4.554,-1.938,9.153,34.666,8.192,3.218,-2.263,1.688,3.735,0.876
paterson,2.6m,independent,loo,124,70,4.554,-1.723,11.022,42.733,9.107,3.302,-2.213,2.002,3.989,1.135
paterson,2.6m,independent,full_on_loo_rows,124,70,4.554,-1.723,9.544,36.659,8.335,3.069,-2.213,1.743,3.84,0.974
paterson,2.6m,box,full,79,76,4.554,-1.938,8.781,21.327,7.856,3.069,-2.263,1.432,3.359,0.758
paterson,2.6m,box,loo,73,70,4.554,-1.723,10.785,32.207,9.264,3.302,-2.114,1.697,3.953,0.877
paterson,2.6m,box,full_on_loo_rows,73,70,4.554,-1.723,8.998,21.327,8.094,3.049,-1.957,1.477,3.359,0.82
paterson,2.6m,missed,full,51,0,,,12.852,47.87,9.056,3.33,-2.213,2.644,4.167,1.362
paterson,2.6m,missed,loo,51,0,,,12.852,47.87,9.056,3.33,-2.213,2.644,4.167,1.362
paterson,2.6m,missed,full_on_loo_rows,51,0,,,12.852,47.87,9.056,3.33,-2.213,2.644,4.167,1.362
paterson,2.6m,peak,full,156,0,,,5.652,17.376,3.816,2.502,-1.486,1.128,3.313,0.484
paterson,2.6m,peak,loo,145,0,,,8.46,28.665,6.662,3.254,-2.025,1.75,4.177,0.736
paterson,2.6m,peak,full_on_loo_rows,145,0,,,6.292,18.29,4.324,2.729,-1.632,1.281,3.386,0.629
paterson,2.6m,box_on_detection,full,76,76,4.554,-1.938,8.781,21.327,7.477,3.069,-2.271,1.424,3.359,0.701
paterson,2.6m,box_on_detection,loo,70,70,4.554,-1.723,10.785,32.207,9.264,3.302,-2.362,1.697,3.953,0.861
paterson,2.6m,box_on_detection,full_on_loo_rows,70,70,4.554,-1.723,8.998,21.327,8.094,3.049,-2.263,1.477,3.359,0.766
paterson,per-pano,independent,full,157,80,4.639,-1.635,7.188,22.973,5.152,2.168,0.067,1.285,3.18,-0.02
paterson,per-pano,independent,loo,156,79,4.765,-1.635,7.614,28.748,5.646,2.396,0.302,1.4,3.447,-0.052
paterson,per-pano,independent,full_on_loo_rows,156,79,4.765,-1.635,7.188,22.973,5.152,2.168,0.067,1.285,3.18,-0.026
paterson,per-pano,box,full,89,80,4.639,-1.635,8.315,20.964,5.737,2.257,-0.375,1.119,2.358,0.145
paterson,per-pano,box,loo,88,79,4.765,-1.635,9.314,30.721,6.757,2.699,-0.208,1.338,2.66,0.121
paterson,per-pano,box,full_on_loo_rows,88,79,4.765,-1.635,8.315,20.964,5.737,2.257,-0.545,1.119,2.358,0.145
paterson,per-pano,missed,full,68,0,,,6.188,26.821,4.312,2.037,0.944,1.689,4.027,-0.434
paterson,per-pano,missed,loo,68,0,,,6.188,26.821,4.312,2.037,0.944,1.689,4.027,-0.434
paterson,per-pano,missed,full_on_loo_rows,68,0,,,6.188,26.821,4.312,2.037,0.944,1.689,4.027,-0.434
paterson,per-pano,peak,full,160,0,,,5.954,15.21,4.422,2.34,1.38,0.921,2.636,-0.448
paterson,per-pano,peak,loo,154,0,,,8.429,23.884,6.857,2.893,2.12,1.227,3.022,-0.657
paterson,per-pano,peak,full_on_loo_rows,154,0,,,6.208,15.408,4.736,2.419,1.641,0.962,2.715,-0.491
