city,height_model,dimension,bucket,n_views,n_sites,n_projected,px_p50,px_p90,abs_dx_px_p50,abs_dx_px_p90,abs_dy_px_p50,abs_dy_px_p90,dist_m_p50,dist_m_p90,along_m_median,abs_along_m_p50,abs_along_m_p90,abs_cross_m_p50,abs_cross_m_p90
bend,2.6m,range_m,0-8,9565,7237,9565,11.697,33.532,9.698,31.629,3.877,12.336,0.612,1.53,-0.063,0.358,1.118,0.343,1.028
bend,2.6m,range_m,8-12,14464,8348,14464,6.519,16.37,5.111,15.544,2.525,6.544,0.859,1.997,0.099,0.661,1.802,0.319,0.967
bend,2.6m,range_m,12-18,9939,6835,9939,5.247,11.703,3.707,10.989,2.327,5.709,1.442,2.999,0.704,1.283,2.878,0.331,0.988
bend,2.6m,range_m,18-25,9320,6473,9320,4.756,10.092,3.06,9.289,2.251,5.569,2.495,4.791,1.997,2.31,4.745,0.361,1.111
bend,2.6m,source,launch,43288,9709,43288,6.265,18.637,4.712,17.359,2.616,7.051,1.071,3.196,0.274,0.838,3.052,0.336,1.018
bend,2.6m,delta_months,0,36699,9709,36699,6.189,18.191,4.666,17.034,2.566,6.869,1.05,3.179,0.303,0.82,3.034,0.332,1.0
bend,2.6m,delta_months,1-18,4123,1856,4123,6.184,18.343,4.588,17.431,2.635,6.853,1.141,3.327,0.346,0.89,3.259,0.34,1.03
bend,2.6m,delta_months,19-36,33,19,33,6.3,19.181,4.677,18.298,3.183,8.473,1.479,4.812,-0.066,1.254,4.698,0.393,1.109
bend,2.6m,delta_months,>36,2433,1513,2433,8.198,23.432,5.876,21.078,3.458,11.137,1.291,3.161,-0.423,1.038,2.961,0.415,1.207
bend,2.6m,n_views,3,7233,2411,7233,7.505,23.853,5.938,22.607,2.847,8.002,1.086,3.011,0.167,0.777,2.754,0.385,1.228
bend,2.6m,n_views,4-5,24447,5485,24447,6.271,18.201,4.694,16.955,2.632,7.061,1.032,3.148,0.277,0.81,3.005,0.331,0.972
bend,2.6m,n_views,6+,11608,1813,11608,5.698,15.758,4.174,14.62,2.448,6.499,1.153,3.399,0.349,0.948,3.288,0.32,0.966
bend,per-pano,range_m,0-8,11631,8024,11631,12.747,33.634,9.833,30.933,5.763,13.813,0.81,1.778,-0.501,0.57,1.486,0.372,1.057
bend,per-pano,range_m,8-12,12350,7725,12350,6.987,16.173,5.243,15.462,2.918,6.957,0.994,2.308,-0.612,0.795,2.112,0.339,0.992
bend,per-pano,range_m,12-18,10071,6928,10071,5.106,11.443,3.925,11.006,2.069,4.821,1.267,2.942,-0.343,1.091,2.78,0.346,0.977
bend,per-pano,range_m,18-25,9230,6417,9230,4.166,9.067,3.032,8.504,1.789,4.323,1.909,4.017,0.734,1.755,3.962,0.356,0.992
bend,per-pano,source,launch,43282,9742,43282,6.563,19.744,4.907,17.931,2.787,8.223,1.107,2.876,-0.408,0.894,2.722,0.353,1.006
bend,per-pano,delta_months,0,36741,9742,36741,6.455,19.357,4.837,17.663,2.752,8.026,1.089,2.85,-0.399,0.883,2.697,0.348,0.989
bend,per-pano,delta_months,1-18,4103,1852,4103,6.483,19.994,4.874,18.318,2.724,7.988,1.141,2.911,-0.356,0.898,2.776,0.355,1.022
bend,per-pano,delta_months,19-36,34,21,34,5.829,24.673,3.146,13.176,3.017,13.343,1.556,3.51,-0.399,1.39,3.053,0.215,0.659
bend,per-pano,delta_months,>36,2404,1504,2404,8.566,24.491,6.437,21.994,3.664,11.33,1.305,3.075,-0.678,1.064,2.864,0.426,1.219
bend,per-pano,n_views,3,7278,2426,7278,8.334,25.71,6.701,23.788,3.121,9.481,1.157,2.803,-0.434,0.868,2.559,0.429,1.288
bend,per-pano,n_views,4-5,24821,5559,24821,6.567,19.152,4.875,17.388,2.828,8.274,1.081,2.807,-0.412,0.878,2.645,0.345,0.967
bend,per-pano,n_views,6+,11183,1757,11183,5.702,16.366,4.17,14.869,2.51,7.278,1.132,3.078,-0.386,0.955,2.954,0.325,0.912
paterson,2.6m,range_m,0-8,3636,2879,3636,16.132,42.236,13.084,40.272,5.44,15.65,0.983,2.155,0.076,0.601,1.693,0.494,1.446
paterson,2.6m,range_m,8-12,6900,3973,6900,10.635,27.203,8.493,26.0,3.914,10.615,1.357,2.771,0.474,1.03,2.478,0.51,1.455
paterson,2.6m,range_m,12-18,4261,2998,4261,7.54,17.584,5.883,16.679,2.914,7.769,1.86,3.723,1.166,1.598,3.569,0.505,1.426
paterson,2.6m,range_m,18-25,5230,3489,5230,5.903,13.105,4.409,12.335,2.508,6.133,2.769,5.289,2.275,2.594,5.226,0.524,1.434
paterson,2.6m,source,launch,20027,4565,20027,8.837,25.518,6.919,23.8,3.417,9.688,1.582,3.865,0.747,1.264,3.703,0.51,1.442
paterson,2.6m,delta_months,0,12199,4565,12199,9.406,26.428,7.192,24.444,3.916,10.468,1.786,4.109,1.222,1.478,3.977,0.523,1.491
paterson,2.6m,delta_months,1-18,3413,1803,3413,8.223,24.64,6.884,23.707,2.684,7.771,1.367,3.414,0.28,1.028,3.208,0.536,1.413
paterson,2.6m,delta_months,19-36,370,243,370,5.889,17.88,4.579,16.916,2.034,6.733,1.007,2.975,-0.004,0.798,2.833,0.374,1.081
paterson,2.6m,delta_months,>36,4045,2134,4045,8.134,23.896,6.386,22.261,2.904,8.962,1.308,3.264,0.01,0.992,3.139,0.469,1.337
paterson,2.6m,n_views,3,3936,1312,3936,11.424,35.693,9.629,33.628,3.597,10.874,1.75,3.796,0.774,1.278,3.484,0.676,1.935
paterson,2.6m,n_views,4-5,10785,2428,10785,9.047,25.279,7.056,23.526,3.549,9.823,1.577,3.881,0.801,1.26,3.75,0.515,1.409
paterson,2.6m,n_views,6+,5306,825,5306,7.206,17.856,5.463,16.16,3.068,8.514,1.459,3.899,0.625,1.26,3.812,0.424,1.127
paterson,per-pano,range_m,0-8,6381,4154,6381,14.33,36.117,11.776,33.962,5.732,12.992,1.006,2.174,-0.601,0.705,1.844,0.484,1.275
paterson,per-pano,range_m,8-12,7093,4185,7093,7.689,18.006,6.038,17.38,3.139,7.049,1.216,2.678,-0.799,0.986,2.523,0.396,1.132
paterson,per-pano,range_m,12-18,6008,3819,6008,5.257,12.395,4.157,12.019,2.063,4.705,1.562,3.607,-0.554,1.381,3.507,0.397,1.107
paterson,per-pano,range_m,18-25,3716,2774,3716,4.338,9.491,3.365,9.06,1.683,4.111,2.005,4.781,0.638,1.858,4.725,0.414,1.08
paterson,per-pano,source,launch,23198,5030,23198,7.328,21.913,5.712,20.61,2.892,8.309,1.296,3.19,-0.568,1.05,3.048,0.42,1.162
paterson,per-pano,delta_months,0,14817,5030,14817,7.23,21.741,5.725,20.649,2.81,7.813,1.288,3.282,-0.546,1.042,3.13,0.416,1.157
paterson,per-pano,delta_months,1-18,3778,1997,3778,6.869,20.73,5.126,18.965,2.835,8.811,1.279,3.078,-0.521,1.053,2.961,0.403,1.104
paterson,per-pano,delta_months,19-36,352,224,352,7.274,20.698,5.353,19.393,2.975,9.173,1.335,3.01,-0.814,1.075,2.876,0.405,1.116
