city,height_model,n_views,n_sites,n_projected,px_p50,px_p90,abs_dx_px_p50,abs_dx_px_p90,abs_dy_px_p50,abs_dy_px_p90,dist_m_p50,dist_m_p90,along_m_median,abs_along_m_p50,abs_along_m_p90,abs_cross_m_p50,abs_cross_m_p90
bend,2.6m,43288,9709,43288,6.265,18.637,4.712,17.359,2.616,7.051,1.071,3.196,0.274,0.838,3.052,0.336,1.018
bend,per-pano,43282,9742,43282,6.563,19.744,4.907,17.931,2.787,8.223,1.107,2.876,-0.408,0.894,2.722,0.353,1.006
paterson,2.6m,20027,4565,20027,8.837,25.518,6.919,23.8,3.417,9.688,1.582,3.865,0.747,1.264,3.703,0.51,1.442
paterson,per-pano,23198,5030,23198,7.328,21.913,5.712,20.61,2.892,8.309,1.296,3.19,-0.568,1.05,3.048,0.42,1.162
gainesville,2.6m,8645,2057,8645,9.803,28.337,7.562,26.344,3.876,11.419,1.9,4.113,1.058,1.552,3.944,0.561,1.634
gainesville,per-pano,11178,2486,11178,7.737,23.115,6.025,21.39,3.023,8.969,1.454,3.542,-0.53,1.183,3.386,0.434,1.267
sao_paulo,2.6m,12262,2371,12262,7.356,22.702,5.836,21.294,2.718,7.778,1.242,3.295,-0.003,0.936,3.083,0.432,1.348
sao_paulo,per-pano,11814,2389,11814,8.715,26.601,6.915,25.075,3.266,9.532,1.44,3.331,-0.534,1.109,3.123,0.494,1.439
richmond,2.6m,7235,945,7235,11.566,38.041,8.987,35.274,4.146,13.047,1.95,5.287,0.155,1.457,4.807,0.655,2.228
clovis,2.6m,6841,1135,6841,10.157,30.499,7.408,27.729,4.417,12.215,1.805,4.852,0.539,1.481,4.419,0.507,1.784
laurens,2.6m,585,109,585,18.119,60.006,15.298,56.416,6.221,17.558,2.767,5.726,-0.813,2.043,4.841,1.157,3.274
laurens_gsv,2.6m,322,85,322,5.545,18.022,3.803,16.267,2.853,6.616,1.101,3.358,0.119,0.884,3.225,0.33,0.924
annapolis,2.6m,24228,2727,24228,10.586,27.75,7.383,25.582,4.492,12.689,1.688,5.142,0.735,1.377,4.846,0.494,1.489
morgantown,2.6m,9084,1171,9084,9.648,32.054,7.202,29.26,4.09,12.231,1.377,4.405,0.578,1.092,4.011,0.444,1.577
