city,height_model,capture_year,n_views,n_sites,naive_slope,naive_slope_se,naive_intercept_m,scale_s,scale_s_se,implied_range_scale_k,k_lo95,k_hi95,null_naive_slope,null_scale_s,k_null_corrected,rn101_n_views,rn101_n_sites,rn101_slope,rn101_slope_se,null_rn101_slope,rn101_null_share,naive_null_share,obs_abs_along_p50,obs_abs_along_p90,null_abs_along_p50,null_abs_along_p90,obs_abs_cross_p50,obs_abs_cross_p90,null_abs_cross_p50,null_abs_cross_p90,r2fit_scale_s,r2fit_scale_s_se,r2fit_k,r2fit_dy_offset_px,r2fit_dy_offset_px_se
bend,2.6m,all,43288,9709,0.1204,0.0016,-1.034,0.053,0.0007,1.056,1.0544,1.0576,0.0466,0.0086,1.0465,42240,9388,0.1082,0.0015,0.0398,0.368,0.387,0.838,3.052,1.036,2.651,0.336,1.018,0.807,1.969,-0.0603,0.0018,0.9431,-2.787,0.05
bend,2.6m,2012,1815,869,0.0475,0.0086,-1.3513,-0.0591,0.004,0.9442,0.9372,0.9513,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,2017,301,205,0.0933,0.0224,-1.7393,-0.0457,0.0117,0.9563,0.9358,0.9777,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,2018,308,205,0.0647,0.0222,-1.5999,-0.059,0.0108,0.9443,0.9259,0.9635,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,2019,685,430,0.0984,0.0142,-0.7474,0.0497,0.006,1.0523,1.0394,1.0655,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,2021,625,357,0.1352,0.0141,-1.1483,0.0598,0.006,1.0636,1.0504,1.0772,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,2024,38485,9264,0.1212,0.0016,-0.9709,0.0586,0.0007,1.0622,1.0606,1.0638,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,2025,1047,377,0.0841,0.0106,-0.6908,0.0434,0.0048,1.0454,1.0351,1.0559,,,,,,,,,,,,,,,,,,,,,,,
bend,2.6m,other,22,18,0.1014,0.0729,-1.3241,-0.0163,0.0432,0.984,0.9084,1.0734,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,all,43282,9742,0.0741,0.0017,-1.1936,-0.014,0.0008,0.9862,0.9847,0.9877,0.0438,0.0073,0.9792,42302,9437,0.0566,0.0016,0.0375,0.663,0.591,0.894,2.722,1.025,2.6,0.353,1.006,0.805,1.96,-0.1459,0.002,0.8727,-3.23,0.056
bend,per-pano,2012,1819,875,0.0465,0.0083,-1.354,-0.0607,0.0039,0.9427,0.9359,0.9497,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,2017,305,208,0.1058,0.0238,-1.866,-0.0451,0.0123,0.9569,0.9353,0.9795,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,2018,308,205,0.0743,0.0239,-1.7187,-0.0655,0.0116,0.9386,0.9189,0.9591,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,2019,660,412,0.059,0.0156,-1.1061,-0.0264,0.0068,0.9743,0.9619,0.9871,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,2021,631,364,0.0864,0.0157,-1.1946,-0.0032,0.0068,0.9968,0.9837,1.0102,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,2024,38489,9285,0.0751,0.0018,-1.1735,-0.0111,0.0008,0.989,0.9874,0.9905,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,2025,1050,377,0.052,0.0113,-1.0412,-0.0217,0.0052,0.9787,0.9691,0.9886,,,,,,,,,,,,,,,,,,,,,,,
bend,per-pano,other,20,16,-0.0183,0.0759,-0.6606,-0.085,0.0419,0.9217,0.8569,0.9971,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,all,20027,4565,0.1268,0.0025,-0.7907,0.0839,0.0013,1.0916,1.0887,1.0946,0.0503,0.0088,1.0813,19653,4445,0.1159,0.0024,0.0425,0.367,0.397,1.264,3.703,1.067,2.746,0.51,1.442,0.813,1.981,0.0149,0.0032,1.0151,-1.638,0.078
paterson,2.6m,2007,65,61,0.1108,0.0616,-0.9148,0.0442,0.0247,1.0462,0.9958,1.102,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2008,41,38,0.1943,0.0622,-1.4958,0.0793,0.0299,1.0861,1.021,1.1601,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2012,293,219,0.0924,0.0198,-2.0435,-0.0548,0.0106,0.9481,0.9298,0.9671,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2013,45,43,0.0169,0.0324,-1.4031,-0.0732,0.0183,0.9318,0.9016,0.9641,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2014,186,143,0.0372,0.0287,-1.7035,-0.0871,0.0133,0.9198,0.8984,0.9424,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2015,118,102,0.0751,0.0329,-1.7428,-0.0394,0.0157,0.9621,0.9345,0.9915,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2016,153,105,0.052,0.0304,-1.75,-0.0674,0.0148,0.9369,0.9121,0.9631,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2017,77,76,0.088,0.0399,-1.8485,-0.0373,0.0177,0.964,0.9328,0.9974,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2018,1013,691,0.1077,0.0108,-1.0232,0.0433,0.0046,1.0452,1.0355,1.0551,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2019,1135,696,0.1087,0.0094,-1.07,0.0412,0.0042,1.0429,1.0341,1.052,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2020,1901,1037,0.1131,0.0072,-0.9639,0.0521,0.0032,1.0549,1.048,1.0619,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2021,1337,726,0.1164,0.0086,-1.0835,0.0492,0.0039,1.0517,1.0434,1.0602,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2022,52,29,0.1355,0.0318,-1.314,0.0448,0.016,1.0469,1.0136,1.0824,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2024,5969,2562,0.0922,0.0042,-0.9255,0.0354,0.0019,1.0367,1.0328,1.0408,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,2025,7640,2825,0.1376,0.0042,0.0332,0.1606,0.0016,1.1913,1.1868,1.1959,,,,,,,,,,,,,,,,,,,,,,,
paterson,2.6m,other,2,2,,,,0.0923,0.0457,1.1016,1.0026,1.2224,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,all,23198,5030,0.0875,0.0029,-1.5278,-0.0261,0.0013,0.9746,0.9722,0.977,0.0639,0.0115,0.9638,22748,4890,0.0701,0.0028,0.0553,0.789,0.731,1.05,3.048,1.071,2.789,0.42,1.162,0.792,1.952,-0.1778,0.0031,0.849,-3.255,0.071
paterson,per-pano,2007,63,60,0.2185,0.0799,-2.5278,-0.0087,0.0351,0.9914,0.9281,1.0639,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2008,42,37,0.2743,0.0602,-2.5678,0.0534,0.0384,1.0564,0.9786,1.1477,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2012,301,225,0.0914,0.02,-2.0752,-0.0639,0.0109,0.9399,0.9215,0.9591,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2013,48,46,0.0488,0.0421,-1.3688,-0.0539,0.0205,0.9489,0.914,0.9865,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2014,185,143,0.0342,0.0267,-1.569,-0.0816,0.0124,0.9246,0.9042,0.9459,,,,,,,,,,,,,,,,,,,,,,,
