association,city,option,share_changed,n_low,median_err_low,median_abs_err_low,n_other,median_err_other,median_abs_err_other
per-pano,bend,a,0.0,3,0.1741,0.1741,19124,0.0386,0.0659
per-pano,bend,b,0.8384,3,0.0452,0.1823,19124,0.0223,0.0642
per-pano,bend,c,0.8384,3,0.129,0.1987,19124,0.0002,0.0588
per-pano,paterson,a,0.0,5315,0.3108,0.3108,5742,0.0261,0.0655
per-pano,paterson,b,0.8742,5315,0.0193,0.0825,5742,0.0079,0.0663
per-pano,paterson,c,0.8742,5315,0.0116,0.0816,5742,-0.0134,0.0639
per-pano,gainesville,a,0.0,6069,0.3393,0.3393,3306,0.039,0.0794
per-pano,gainesville,b,0.8136,6069,-0.0018,0.1037,3306,0.0098,0.0791
per-pano,gainesville,c,0.8136,6069,0.04,0.0984,3306,0.0036,0.0762
per-pano,sao_paulo,a,0.0,175,0.177,0.1865,9159,0.0275,0.0775
per-pano,sao_paulo,b,0.6193,175,0.0033,0.1201,9159,-0.0126,0.0804
per-pano,sao_paulo,c,0.6193,175,0.0573,0.1526,9159,-0.012,0.0802
2.3,bend,a,0.0,3,0.1741,0.1741,19079,0.0414,0.0658
2.3,bend,b,0.8384,3,0.0452,0.1823,19079,0.0253,0.0647
2.3,bend,c,0.8384,3,0.129,0.2045,19079,0.0031,0.0585
2.3,paterson,a,0.0,5031,0.2661,0.2662,5715,0.0302,0.0649
2.3,paterson,b,0.8742,5031,-0.0139,0.0795,5715,0.011,0.0656
2.3,paterson,c,0.8742,5031,-0.0224,0.0766,5715,-0.0094,0.0637
2.3,gainesville,a,0.0,5835,0.2714,0.2715,3315,0.0413,0.077
2.3,gainesville,b,0.8136,5835,-0.0536,0.1103,3315,0.0127,0.0793
2.3,gainesville,c,0.8136,5835,-0.0118,0.0879,3315,0.0064,0.0755
2.3,sao_paulo,a,0.0,167,0.0806,0.1181,9215,0.0336,0.0763
2.3,sao_paulo,b,0.6193,167,-0.0593,0.1406,9215,-0.0065,0.0848
2.3,sao_paulo,c,0.6193,167,-0.0391,0.1506,9215,-0.0058,0.0827
