city,tier,frame,arm,radius_m,n_points,op_sites,sites_scored,sites_dropped,n_pool,median_m,p90_m,mean_m,share_le_3m,own_matched,coverage,own_median_m,own_p90_m,own_mean_m,own_share_le_3m,chance_matched,chance_share
bend,0.3000,frozen@a,a,2.5000,12504,14187,14187,0,10704,0.6051,1.2510,0.6884,1.0000,10704,0.8560,0.6051,1.2510,0.6884,1.0000,142,0.0114
bend,0.3000,frozen@a,b,2.5000,12504,14187,14187,0,10704,0.6078,1.2653,0.6995,0.9993,10691,0.8550,0.6068,1.2590,0.6946,1.0000,145,0.0116
bend,0.3000,frozen@a,c,2.5000,12504,14187,14187,0,10704,0.6192,1.2820,0.7066,1.0000,10692,0.8551,0.6186,1.2793,0.7035,1.0000,142,0.0114
bend,0.3000,frozen@a,b1.00,2.5000,12504,14187,14187,0,10704,0.6809,1.4142,0.7774,0.9970,10665,0.8529,0.6776,1.3899,0.7619,1.0000,139,0.0111
bend,0.3000,frozen@a,a,5.0000,12504,14187,14187,0,10914,0.6122,1.3301,0.7397,0.9882,10914,0.8728,0.6122,1.3301,0.7397,0.9882,534,0.0427
bend,0.3000,frozen@a,b,5.0000,12504,14187,14187,0,10914,0.6154,1.3471,0.7501,0.9874,10909,0.8724,0.6149,1.3395,0.7468,0.9880,530,0.0424
bend,0.3000,frozen@a,c,5.0000,12504,14187,14187,0,10914,0.6266,1.3737,0.7565,0.9885,10915,0.8729,0.6264,1.3747,0.7564,0.9884,522,0.0417
bend,0.3000,frozen@a,b1.00,5.0000,12504,14187,14187,0,10914,0.6904,1.4894,0.8257,0.9863,10905,0.8721,0.6874,1.4762,0.8180,0.9871,512,0.0409
bend,0.3000,frozen@a,a,8.0000,12504,14187,14187,0,10971,0.6148,1.3590,0.7687,0.9830,10971,0.8774,0.6148,1.3590,0.7687,0.9830,1304,0.1043
bend,0.3000,frozen@a,b,8.0000,12504,14187,14187,0,10971,0.6173,1.3714,0.7788,0.9823,10969,0.8772,0.6171,1.3655,0.7765,0.9826,1295,0.1036
bend,0.3000,frozen@a,c,8.0000,12504,14187,14187,0,10971,0.6292,1.3945,0.7851,0.9833,10972,0.8775,0.6291,1.3976,0.7854,0.9832,1275,0.1020
bend,0.3000,frozen@a,b1.00,8.0000,12504,14187,14187,0,10971,0.6933,1.5104,0.8538,0.9811,10971,0.8774,0.6917,1.5022,0.8512,0.9811,1268,0.1014
bend,0.3000,frozen@b,a,2.5000,12504,14160,14158,2,10707,0.6036,1.2323,0.6847,1.0000,10707,0.8563,0.6036,1.2323,0.6847,1.0000,139,0.0111
bend,0.3000,frozen@b,b,2.5000,12504,14160,14158,2,10707,0.6067,1.2567,0.6964,0.9990,10687,0.8547,0.6059,1.2495,0.6901,1.0000,144,0.0115
