city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
bend,0.3000,frozen@a,a,5.0000,2012,259,-0.5180,-1.0043,-0.0675,-0.0520,10.0992
bend,0.3000,frozen@a,a,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@a,a,5.0000,2017,21,-0.6125,-1.8263,-0.4396,-0.1162,7.8703
bend,0.3000,frozen@a,a,5.0000,2018,12,-0.9670,-1.1556,-0.5099,-0.1463,6.3655
bend,0.3000,frozen@a,a,5.0000,2019,53,0.0920,-0.2843,0.5701,0.0154,10.3795
bend,0.3000,frozen@a,a,5.0000,2021,34,0.1214,-0.4218,0.3646,0.0083,11.9200
bend,0.3000,frozen@a,a,5.0000,2024,8827,0.0269,-0.3374,0.3867,0.0022,12.3090
bend,0.3000,frozen@a,a,5.0000,2025,61,0.1264,-0.4999,0.5437,0.0094,11.9200
bend,0.3000,frozen@a,a,5.0000,mixed,1643,-0.0558,-0.4129,0.2881,-0.0045,12.6307
bend,0.3000,frozen@a,b,5.0000,2012,259,-0.5170,-1.0043,-0.0675,-0.0520,10.0992
bend,0.3000,frozen@a,b,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@a,b,5.0000,2017,21,-0.6125,-1.8263,-0.4396,-0.1162,7.8703
bend,0.3000,frozen@a,b,5.0000,2018,12,-0.9670,-1.6828,-0.5099,-0.1463,6.3655
bend,0.3000,frozen@a,b,5.0000,2019,53,-0.0561,-0.3751,0.3398,-0.0059,10.1014
bend,0.3000,frozen@a,b,5.0000,2021,34,0.0078,-0.5638,0.3205,0.0006,11.4743
bend,0.3000,frozen@a,b,5.0000,2024,8827,-0.0392,-0.4046,0.3299,-0.0034,12.1042
bend,0.3000,frozen@a,b,5.0000,2025,61,0.0277,-0.6440,0.5025,0.0028,11.9200
bend,0.3000,frozen@a,b,5.0000,mixed,1643,-0.1105,-0.4587,0.2404,-0.0088,12.4487
bend,0.3000,frozen@a,c,5.0000,2012,259,-0.7241,-1.2215,-0.2497,-0.0722,9.7108
bend,0.3000,frozen@a,c,5.0000,2015,4,0.0696,-0.8539,0.0696,0.0162,5.7346
bend,0.3000,frozen@a,c,5.0000,2017,21,-0.8308,-2.2642,-0.6874,-0.1456,7.5676
bend,0.3000,frozen@a,c,5.0000,2018,12,-1.1803,-1.3377,-0.6864,-0.1922,6.1206
bend,0.3000,frozen@a,c,5.0000,2019,53,-0.0212,-0.4429,0.3401,-0.0043,9.9803
bend,0.3000,frozen@a,c,5.0000,2021,34,-0.1925,-0.6532,0.2517,-0.0187,11.4615
bend,0.3000,frozen@a,c,5.0000,2024,8827,-0.1447,-0.5069,0.2152,-0.0127,11.8356
bend,0.3000,frozen@a,c,5.0000,2025,61,-0.1571,-0.7980,0.3765,-0.0126,11.4615
bend,0.3000,frozen@a,c,5.0000,mixed,1643,-0.2132,-0.5733,0.1252,-0.0172,12.1449
bend,0.3000,frozen@a,b1.00,5.0000,2012,259,-0.5180,-1.0043,-0.0629,-0.0520,10.0992
bend,0.3000,frozen@a,b1.00,5.0000,2015,4,0.1009,-0.6246,0.1009,0.0226,5.9640
bend,0.3000,frozen@a,b1.00,5.0000,2017,21,-0.6125,-1.8263,-0.4396,-0.1162,7.8703
bend,0.3000,frozen@a,b1.00,5.0000,2018,12,-0.9670,-1.7652,-0.5099,-0.1463,6.3655
bend,0.3000,frozen@a,b1.00,5.0000,2019,53,-0.4569,-0.8290,-0.0133,-0.0545,9.3531
bend,0.3000,frozen@a,b1.00,5.0000,2021,34,-0.3975,-1.0530,0.0105,-0.0301,10.6244
bend,0.3000,frozen@a,b1.00,5.0000,2024,8827,-0.3395,-0.7325,0.0293,-0.0308,11.2844
bend,0.3000,frozen@a,b1.00,5.0000,2025,61,-0.3730,-1.0991,0.0618,-0.0335,11.1349
