region_id,class,completion_rate,crowd_labels,on_run_panos,pano_agree,world_agree,ai_sites,ai_sites_matched
5,full,1.0,98,74,59,85,188,80
6,full,1.0,118,54,38,94,196,83
8,full,1.0,197,41,31,162,376,158
14,full,1.0,239,224,152,164,275,152
16,full,1.0,158,122,94,131,289,120
20,full,1.0,80,52,39,60,191,63
21,full,1.0,17,5,2,13,20,13
22,full,1.0,42,26,20,33,107,30
23,full,1.0,28,16,10,16,43,19
24,full,1.0,54,17,12,36,78,32
25,full,1.0,189,148,108,139,356,135
26,full,1.0,155,154,120,128,261,117
27,full,1.0,241,232,152,195,527,183
28,full,1.0,173,168,133,132,309,129
29,full,1.0,41,35,21,32,66,30
31,full,1.0,38,34,23,29,90,31
32,full,1.0,214,166,117,127,387,132
33,full,1.0,29,14,6,17,113,28
35,full,1.0,580,346,266,505,1326,522
38,full,1.0,45,26,19,38,65,30
39,full,1.0,2,2,1,1,35,9
40,full,1.0,359,322,231,305,785,340
42,full,1.0,101,48,35,71,227,77
43,full,1.0,181,86,70,164,310,144
44,full,1.0,117,66,49,94,222,92
46,full,1.0,95,51,30,77,191,71
47,full,1.0,82,44,29,67,198,72
48,full,1.0,162,77,50,142,328,137
49,full,1.0,78,22,19,69,189,57
50,full,1.0,91,65,43,72,136,62
54,full,1.0,28,16,14,26,58,24
55,full,1.0,6,4,4,6,12,6
56,full,1.0,32,5,4,23,45,23
57,full,1.0,12,6,6,7,12,5
58,full,1.0,6,2,1,4,14,5
93,full,1.0,46,27,21,28,42,19
150,full,1.0,119,41,29,78,197,72
7,partial,0.9065,81,39,28,63,190,64
30,partial,0.3724,26,16,15,19,89,14
59,partial,0.7396,94,59,47,80,213,70
