frame,direction,tier,height,radius,scope,k,n,rate
pano,crowd->AI,0.3,,0.011,all in scope,1898,2952,0.643
pano,AI->crowd (lower bound),0.3,,0.011,crowd-labelled panos,1898,4360,0.4353
pano,crowd->AI,0.3,,0.022,all in scope,2148,2952,0.7276
pano,AI->crowd (lower bound),0.3,,0.022,crowd-labelled panos,2148,4360,0.4927
pano,crowd->AI,0.3,,0.033,all in scope,2220,2952,0.752
pano,AI->crowd (lower bound),0.3,,0.033,crowd-labelled panos,2220,4360,0.5092
pano,crowd->AI,0.3,,0.05,all in scope,2273,2952,0.77
pano,AI->crowd (lower bound),0.3,,0.05,crowd-labelled panos,2273,4360,0.5213
world,crowd->AI sites,0.3,2.6 m,2.5,all in scope,2933,4454,0.6585
world,crowd->AI sites,0.3,2.6 m,2.5,full regions,2800,4253,0.6584
world,crowd->AI union,0.3,2.6 m,2.5,all in scope,3839,4454,0.8619
world,AI->crowd one-to-one,0.3,2.6 m,2.5,full regions,2747,8264,0.3324
world,AI->crowd any,0.3,2.6 m,2.5,full regions,2910,8264,0.3521
world,AI on NoCurbRamp,0.3,2.6 m,2.5,full regions,25,8264,0.003
world,"AI on NoCurbRamp, no CurbRamp",0.3,2.6 m,2.5,full regions,25,8264,0.003
world,crowd->AI sites,0.3,2.6 m,5.0,all in scope,3532,4454,0.793
world,crowd->AI sites,0.3,2.6 m,5.0,full regions,3370,4253,0.7924
world,crowd->AI union,0.3,2.6 m,5.0,all in scope,4193,4454,0.9414
world,AI->crowd one-to-one,0.3,2.6 m,5.0,full regions,3298,8264,0.3991
world,AI->crowd any,0.3,2.6 m,5.0,full regions,4167,8264,0.5042
world,AI on NoCurbRamp,0.3,2.6 m,5.0,full regions,42,8264,0.0051
world,"AI on NoCurbRamp, no CurbRamp",0.3,2.6 m,5.0,full regions,36,8264,0.0044
world,crowd->AI sites,0.3,2.6 m,7.5,all in scope,3775,4454,0.8476
world,crowd->AI sites,0.3,2.6 m,7.5,full regions,3599,4253,0.8462
world,crowd->AI union,0.3,2.6 m,7.5,all in scope,4279,4454,0.9607
world,AI->crowd one-to-one,0.3,2.6 m,7.5,full regions,3520,8264,0.4259
world,AI->crowd any,0.3,2.6 m,7.5,full regions,5130,8264,0.6208
world,AI on NoCurbRamp,0.3,2.6 m,7.5,full regions,56,8264,0.0068
world,"AI on NoCurbRamp, no CurbRamp",0.3,2.6 m,7.5,full regions,42,8264,0.0051
world,crowd->AI sites,0.3,per-pano,2.5,all in scope,2781,4454,0.6244
world,crowd->AI sites,0.3,per-pano,2.5,full regions,2658,4253,0.625
world,crowd->AI union,0.3,per-pano,2.5,all in scope,3786,4454,0.85
