test,city,association,vintage,bin,n,median_depth,median_implied,vintage_median_depth,p68_abs_resid
T1,gainesville,per-pano,2022,<= -0.40,2,1.713,2.42,2.275,
T1,gainesville,per-pano,2022,"(-0.40, -0.15]",26,2.04,2.407,2.275,
T1,gainesville,per-pano,2022,"(-0.15, +0.15)",243,2.308,2.459,2.275,
T1,gainesville,per-pano,2022,"[+0.15, +0.40)",31,2.454,2.48,2.275,
T1,gainesville,per-pano,2022,>= +0.40,0,,,2.275,
T1,gainesville,per-pano,2023,<= -0.40,4,1.869,2.562,2.3,
T1,gainesville,per-pano,2023,"(-0.40, -0.15]",43,2.101,2.432,2.3,
T1,gainesville,per-pano,2023,"(-0.15, +0.15)",299,2.338,2.471,2.3,
T1,gainesville,per-pano,2023,"[+0.15, +0.40)",36,2.464,2.568,2.3,
T1,gainesville,per-pano,2023,>= +0.40,0,,,2.3,
T1,gainesville,per-pano,2024,<= -0.40,11,1.732,2.315,2.314,
T1,gainesville,per-pano,2024,"(-0.40, -0.15]",89,2.09,2.432,2.314,
T1,gainesville,per-pano,2024,"(-0.15, +0.15)",733,2.347,2.493,2.314,
T1,gainesville,per-pano,2024,"[+0.15, +0.40)",75,2.48,2.538,2.314,
T1,gainesville,per-pano,2024,>= +0.40,0,,,2.314,
T1,gainesville,per-pano,2025,<= -0.40,1,1.325,2.095,2.287,
T1,gainesville,per-pano,2025,"(-0.40, -0.15]",36,2.068,2.451,2.287,
T1,gainesville,per-pano,2025,"(-0.15, +0.15)",272,2.305,2.451,2.287,
T1,gainesville,per-pano,2025,"[+0.15, +0.40)",39,2.465,2.455,2.287,
T1,gainesville,per-pano,2025,>= +0.40,0,,,2.287,
T1,gainesville,per-pano,2026,<= -0.40,231,1.258,1.696,1.761,
T1,gainesville,per-pano,2026,"(-0.40, -0.15]",578,1.529,1.833,1.761,
T1,gainesville,per-pano,2026,"(-0.15, +0.15)",3845,1.796,1.92,1.761,
T1,gainesville,per-pano,2026,"[+0.15, +0.40)",816,1.951,2.005,1.761,
T1,gainesville,per-pano,2026,>= +0.40,16,2.227,2.045,1.761,
T1,gainesville,2.3,2022,<= -0.40,2,1.713,2.42,2.275,
T1,gainesville,2.3,2022,"(-0.40, -0.15]",26,2.033,2.438,2.275,
T1,gainesville,2.3,2022,"(-0.15, +0.15)",241,2.308,2.459,2.275,
T1,gainesville,2.3,2022,"[+0.15, +0.40)",31,2.454,2.48,2.275,
T1,gainesville,2.3,2022,>= +0.40,0,,,2.275,
T1,gainesville,2.3,2023,<= -0.40,4,1.869,2.492,2.3,
T1,gainesville,2.3,2023,"(-0.40, -0.15]",44,2.1,2.441,2.3,
T1,gainesville,2.3,2023,"(-0.15, +0.15)",295,2.337,2.461,2.3,
T1,gainesville,2.3,2023,"[+0.15, +0.40)",34,2.463,2.538,2.3,
T1,gainesville,2.3,2023,>= +0.40,0,,,2.3,
T1,gainesville,2.3,2024,<= -0.40,16,1.789,2.548,2.314,
T1,gainesville,2.3,2024,"(-0.40, -0.15]",93,2.084,2.492,2.314,
T1,gainesville,2.3,2024,"(-0.15, +0.15)",735,2.346,2.49,2.314,
T1,gainesville,2.3,2024,"[+0.15, +0.40)",76,2.48,2.489,2.314,
T1,gainesville,2.3,2024,>= +0.40,0,,,2.314,
T1,gainesville,2.3,2025,<= -0.40,3,1.325,2.666,2.287,
T1,gainesville,2.3,2025,"(-0.40, -0.15]",40,2.069,2.499,2.287,
T1,gainesville,2.3,2025,"(-0.15, +0.15)",272,2.305,2.453,2.287,
T1,gainesville,2.3,2025,"[+0.15, +0.40)",38,2.465,2.461,2.287,
T1,gainesville,2.3,2025,>= +0.40,0,,,2.287,
T1,gainesville,2.3,2026,<= -0.40,272,1.248,2.011,1.761,
T1,gainesville,2.3,2026,"(-0.40, -0.15]",561,1.526,2.018,1.761,
T1,gainesville,2.3,2026,"(-0.15, +0.15)",3584,1.798,2.028,1.761,
T1,gainesville,2.3,2026,"[+0.15, +0.40)",815,1.952,2.045,1.761,
T1,gainesville,2.3,2026,>= +0.40,16,2.227,2.094,1.761,
T4,gainesville,per-pano,all,Q1 0.000-0.004,1913,,,,0.2933
T4,gainesville,2.3,all,Q1 0.000-0.004,1861,,,,0.3284
T4,gainesville,per-pano,all,Q2 0.004-0.044,1913,,,,0.2852
T4,gainesville,2.3,all,Q2 0.004-0.044,1861,,,,0.3171
T4,gainesville,per-pano,all,Q3 0.044-0.099,1913,,,,0.2925
T4,gainesville,2.3,all,Q3 0.044-0.100,1861,,,,0.3142
T4,gainesville,per-pano,all,Q4 0.099-1.182,1913,,,,0.2825
T4,gainesville,2.3,all,Q4 0.100-1.182,1861,,,,0.297
