city,tier,frame,arm,radius_m,n_points,op_sites,sites_scored,sites_dropped,n_pool,median_m,p90_m,mean_m,share_le_3m,own_matched,coverage,own_median_m,own_p90_m,own_mean_m,own_share_le_3m,chance_matched,chance_share
gainesville,0.3000,frozen@a,a,2.5000,3208,8967,8967,0,2130,1.2409,2.1490,1.2735,1.0000,2130,0.6640,1.2409,2.1490,1.2735,1.0000,83,0.0259
gainesville,0.3000,frozen@a,b,2.5000,3208,8967,8967,0,2130,1.1416,2.4605,1.3507,0.9465,2354,0.7338,1.0301,1.9708,1.0953,1.0000,59,0.0184
gainesville,0.3000,frozen@a,c,2.5000,3208,8967,8967,0,2130,1.1010,2.2478,1.2483,0.9681,2410,0.7512,1.0233,1.9460,1.0897,1.0000,64,0.0200
gainesville,0.3000,frozen@a,b1.00,2.5000,3208,8967,8967,0,2130,1.2856,2.8032,1.5186,0.9169,2306,0.7188,1.0362,1.9665,1.1100,1.0000,59,0.0184
gainesville,0.3000,frozen@a,a,5.0000,3208,8967,8967,0,2677,1.5023,3.2883,1.7053,0.8726,2677,0.8345,1.5023,3.2883,1.7053,0.8726,284,0.0885
gainesville,0.3000,frozen@a,b,5.0000,3208,8967,8967,0,2677,1.2665,3.1836,1.5998,0.8812,2743,0.8550,1.1693,2.8799,1.4243,0.9092,212,0.0661
gainesville,0.3000,frozen@a,c,5.0000,3208,8967,8967,0,2677,1.2216,2.9407,1.4962,0.9036,2747,0.8563,1.1310,2.7078,1.3798,0.9177,215,0.0670
gainesville,0.3000,frozen@a,b1.00,5.0000,3208,8967,8967,0,2677,1.4176,3.4668,1.7607,0.8543,2742,0.8547,1.2023,2.9895,1.4716,0.9008,203,0.0633
gainesville,0.3000,frozen@a,a,8.0000,3208,8967,8967,0,2823,1.5680,3.8364,1.9297,0.8275,2823,0.8800,1.5680,3.8364,1.9297,0.8275,566,0.1764
gainesville,0.3000,frozen@a,b,8.0000,3208,8967,8967,0,2823,1.3225,3.6824,1.7616,0.8491,2840,0.8853,1.2005,3.3016,1.5867,0.8782,467,0.1456
gainesville,0.3000,frozen@a,c,8.0000,3208,8967,8967,0,2823,1.2619,3.4467,1.6561,0.8707,2838,0.8847,1.1687,3.2111,1.5335,0.8883,467,0.1456
gainesville,0.3000,frozen@a,b1.00,8.0000,3208,8967,8967,0,2823,1.4672,3.8673,1.9105,0.8278,2838,0.8847,1.2419,3.3776,1.6306,0.8703,459,0.1431
gainesville,0.3000,frozen@b,a,2.5000,3208,7488,7086,402,2056,1.1675,2.0316,1.1984,1.0000,2056,0.6409,1.1675,2.0316,1.1984,1.0000,48,0.0150
gainesville,0.3000,frozen@b,b,2.5000,3208,7488,7086,402,2056,1.0921,2.3472,1.3644,0.9470,2130,0.6640,1.0517,1.9661,1.1061,1.0000,57,0.0178
gainesville,0.3000,frozen@b,c,2.5000,3208,7488,7086,402,2056,1.0525,2.2150,1.2397,0.9596,2182,0.6802,1.0197,1.9416,1.0904,1.0000,61,0.0190
gainesville,0.3000,frozen@b,b1.00,2.5000,3208,7488,7086,402,2056,1.1726,2.5450,1.4860,0.9275,2102,0.6552,1.0934,2.0023,1.1460,1.0000,58,0.0181
gainesville,0.3000,frozen@b,a,5.0000,3208,7488,7086,402,2469,1.3230,3.0319,1.5691,0.8975,2469,0.7696,1.3230,3.0319,1.5691,0.8975,209,0.0651
gainesville,0.3000,frozen@b,b,5.0000,3208,7488,7086,402,2469,1.2289,3.4019,1.6665,0.8712,2513,0.7834,1.1956,2.9997,1.4651,0.9001,187,0.0583
