city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
gainesville,0.3000,frozen@a,a,5.0000,2007,3,1.4461,0.6231,2.4804,0.0965,11.5783
gainesville,0.3000,frozen@a,a,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@a,a,5.0000,2014,7,-0.8772,-1.5896,0.0756,-0.1020,11.3163
gainesville,0.3000,frozen@a,a,5.0000,2015,6,-0.8517,-1.9209,-0.1598,-0.1027,9.2219
gainesville,0.3000,frozen@a,a,5.0000,2017,1,1.2732,1.2732,1.2732,0.0850,14.9842
gainesville,0.3000,frozen@a,a,5.0000,2018,22,-0.4960,-1.1283,-0.0967,-0.0474,10.4741
gainesville,0.3000,frozen@a,a,5.0000,2019,8,1.7944,-0.9303,1.9906,0.1088,12.4726
gainesville,0.3000,frozen@a,a,5.0000,2021,1,-0.0373,-0.0373,-0.0373,-0.0041,9.1367
gainesville,0.3000,frozen@a,a,5.0000,2022,21,0.7930,-0.0588,1.3511,0.0618,12.8394
gainesville,0.3000,frozen@a,a,5.0000,2023,31,0.3925,-0.0934,1.5001,0.0396,12.5873
gainesville,0.3000,frozen@a,a,5.0000,2024,61,0.2151,-0.3679,0.5903,0.0165,11.5783
gainesville,0.3000,frozen@a,a,5.0000,2025,30,-0.1150,-0.6709,0.5232,-0.0080,13.1627
gainesville,0.3000,frozen@a,a,5.0000,2026,1401,1.1714,0.2929,2.1060,0.0881,13.7350
gainesville,0.3000,frozen@a,a,5.0000,mixed,1077,0.2866,-0.3282,0.9322,0.0209,14.3731
gainesville,0.3000,frozen@a,b,5.0000,2007,3,1.4461,-1.9968,1.7003,0.0965,8.9586
gainesville,0.3000,frozen@a,b,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@a,b,5.0000,2014,7,-0.9227,-1.5896,-0.1255,-0.1081,11.0648
gainesville,0.3000,frozen@a,b,5.0000,2015,6,-0.8255,-1.9990,-0.1598,-0.0987,9.2219
gainesville,0.3000,frozen@a,b,5.0000,2017,1,1.2732,1.2732,1.2732,0.0850,14.9842
gainesville,0.3000,frozen@a,b,5.0000,2018,22,-0.4960,-1.1283,-0.0967,-0.0474,10.4741
gainesville,0.3000,frozen@a,b,5.0000,2019,8,1.7944,-0.9303,1.9906,0.1088,12.4726
gainesville,0.3000,frozen@a,b,5.0000,2021,1,-0.0310,-0.0310,-0.0310,-0.0038,8.1689
gainesville,0.3000,frozen@a,b,5.0000,2022,21,0.5559,-0.2667,1.1692,0.0581,12.2942
gainesville,0.3000,frozen@a,b,5.0000,2023,31,0.3085,-0.4014,1.3734,0.0363,12.0428
gainesville,0.3000,frozen@a,b,5.0000,2024,61,0.0203,-0.4489,0.4741,0.0019,11.5783
gainesville,0.3000,frozen@a,b,5.0000,2025,30,-0.3069,-1.1851,0.3761,-0.0203,12.2712
gainesville,0.3000,frozen@a,b,5.0000,2026,1401,-0.6250,-1.6262,0.1442,-0.0623,10.1072
gainesville,0.3000,frozen@a,b,5.0000,mixed,1077,-0.2823,-0.9410,0.3512,-0.0229,12.3836
gainesville,0.3000,frozen@a,c,5.0000,2007,3,0.8698,0.1777,2.1713,0.0604,11.1330
gainesville,0.3000,frozen@a,c,5.0000,2011,8,-2.4623,-2.9313,-1.0438,-0.1690,11.4224
gainesville,0.3000,frozen@a,c,5.0000,2014,7,-1.0346,-1.8987,-0.0988,-0.1252,10.8811
gainesville,0.3000,frozen@a,c,5.0000,2015,6,-1.7895,-2.4606,-0.6713,-0.2805,7.0937
gainesville,0.3000,frozen@a,c,5.0000,2017,1,1.0878,1.0878,1.0878,0.0755,14.4079
gainesville,0.3000,frozen@a,c,5.0000,2018,22,-2.1292,-2.6849,-1.2599,-0.2617,8.0570
gainesville,0.3000,frozen@a,c,5.0000,2019,8,1.2271,-1.1943,1.7314,0.0773,11.9929
gainesville,0.3000,frozen@a,c,5.0000,2021,1,-0.1253,-0.1253,-0.1253,-0.0143,8.7853
gainesville,0.3000,frozen@a,c,5.0000,2022,21,0.5834,-0.2670,1.0472,0.0538,12.3456
gainesville,0.3000,frozen@a,c,5.0000,2023,31,0.2400,-0.3795,1.1948,0.0243,12.1032
gainesville,0.3000,frozen@a,c,5.0000,2024,61,-0.0648,-0.6147,0.4301,-0.0058,11.1330
gainesville,0.3000,frozen@a,c,5.0000,2025,30,-0.3153,-1.0713,0.2965,-0.0248,12.6565
gainesville,0.3000,frozen@a,c,5.0000,2026,1401,-0.4670,-1.2443,0.2385,-0.0454,10.5654
gainesville,0.3000,frozen@a,c,5.0000,mixed,1077,-0.3097,-0.9362,0.3018,-0.0248,12.3397
gainesville,0.3000,frozen@a,b1.00,5.0000,2007,3,1.1627,-2.6604,1.4461,0.0965,8.2950
gainesville,0.3000,frozen@a,b1.00,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@a,b1.00,5.0000,2014,7,-1.2235,-1.5896,-0.5796,-0.1146,10.2452
gainesville,0.3000,frozen@a,b1.00,5.0000,2015,6,-0.9746,-2.0861,-0.1598,-0.1222,9.2219
gainesville,0.3000,frozen@a,b1.00,5.0000,2017,1,1.2732,1.2732,1.2732,0.0850,14.9842
gainesville,0.3000,frozen@a,b1.00,5.0000,2018,22,-0.4960,-1.1283,-0.0967,-0.0474,10.4741
gainesville,0.3000,frozen@a,b1.00,5.0000,2019,8,1.7944,-0.9303,1.9906,0.1088,12.4726
gainesville,0.3000,frozen@a,b1.00,5.0000,2021,1,-0.2021,-0.2021,-0.2021,-0.0267,7.5638
gainesville,0.3000,frozen@a,b1.00,5.0000,2022,21,0.2505,-0.6629,0.9893,0.0439,11.6832
gainesville,0.3000,frozen@a,b1.00,5.0000,2023,31,0.0564,-1.1669,1.0215,0.0082,11.1508
gainesville,0.3000,frozen@a,b1.00,5.0000,2024,61,-0.3579,-0.8536,0.2760,-0.0347,10.8050
gainesville,0.3000,frozen@a,b1.00,5.0000,2025,30,-0.8168,-1.8348,0.0528,-0.0572,11.3622
gainesville,0.3000,frozen@a,b1.00,5.0000,2026,1401,-1.0139,-2.0989,-0.2265,-0.1153,9.3952
gainesville,0.3000,frozen@a,b1.00,5.0000,mixed,1077,-0.4928,-1.1974,0.1427,-0.0414,11.7089
gainesville,0.3000,frozen@b,a,5.0000,2007,1,2.4804,2.4804,2.4804,0.3087,8.0355
