city,results,grouping,group,a_panos,a_sites,h_star_a,a_intercept,a_slope,h_star_a_lo,h_star_a_hi,b_views_2p6,b_2p6,b_2p6_lo,b_2p6_hi,b_2p6_null_sd_m,b_2p6_offset,b_2p6_raw,h_star_b,b_intercept,b_slope,b_amplification,h_star_b_lo,h_star_b_hi,b_draws_undefined,h_star_b_local,h_star_b_local_extrapolated,gap_local,h_star_b_offset,gap_raw,gap_fixed,null_sd_m_max,implied_at_1.4,implied_at_1.6,implied_at_1.8,implied_at_2,implied_at_2.3,implied_at_2.6,implied_at_3,b_at_1.4,b_raw_at_1.4,b_views_at_1.4,b_at_1.6,b_raw_at_1.6,b_views_at_1.6,b_at_1.8,b_raw_at_1.8,b_views_at_1.8,b_at_2,b_raw_at_2,b_views_at_2,b_at_2.3,b_raw_at_2.3,b_views_at_2.3,b_at_2.6,b_raw_at_2.6,b_views_at_2.6,b_at_3,b_raw_at_3,b_views_at_3,rig,quarter_support
richmond,results.jsonl,sequence,Icj7qY3KnrMVL5BgiGWamF,2,3,1.7551,1.2848,0.2679,,,,,,,,,,,,,,,,,,,,,,,,1.626,1.626,1.8652,1.8652,1.9054,2.0108,2.034,,,,,,,,,,,,,,,,,,,,,,gopro/max,False
richmond,results.jsonl,sequence,KF1p8noEahtr4liB5SUbkT,85,44,2.7773,1.3137,0.527,,,147,2.6261,2.4785,2.7738,0.1032,2.9849,2.5356,2.9878,0.2609,0.9127,11.4524,2.2239,9.0013,47,2.7738,False,-0.0035,3.6103,-0.1512,0.2105,0.1104,2.1337,2.0529,2.2671,2.4464,2.4886,2.5729,2.9811,1.5074,1.3861,179,1.6721,1.4766,167,1.9483,1.8066,160,2.1356,2.088,156,2.3872,2.2946,159,2.6261,2.5356,147,2.966,2.7375,146,gopro/max,True
richmond,results.jsonl,sequence,R2A3kG8bwOszFLqfQTdnHV,25,39,1.7534,1.3774,0.2145,,,53,2.1831,2.0709,2.2953,0.1133,2.6212,1.9759,1.7663,0.6657,0.6231,2.6535,1.6364,1.877,0,1.6847,False,-0.0687,2.7481,0.4297,0.0129,0.1837,1.7118,1.7059,1.762,1.7817,1.8524,1.9471,2.0334,1.5427,1.3491,77,1.6211,1.4463,75,1.7714,1.5511,70,1.9813,1.7793,59,2.1584,1.8887,55,2.1831,1.9759,53,2.5618,2.2058,39,gopro/max,False
richmond,results.jsonl,sequence,ZKgN1oIYcrSmeAsBzTH40U,60,47,3.34,1.4931,0.553,,,106,2.6401,2.428,2.8522,0.0954,2.9649,2.544,2.965,0.2562,0.9136,11.5723,2.1281,8.6401,53,3.5952,True,0.2552,3.5531,-0.6999,-0.375,0.1197,2.3457,2.3616,2.3677,2.5434,2.8459,3.0336,3.0825,1.5313,1.3824,120,1.8211,1.6558,118,1.8088,1.7267,113,2.0791,1.9653,113,2.3188,2.2404,107,2.6401,2.544,106,3.024,2.8601,98,gopro/max,True
richmond,results.jsonl,sequence,aFO1tlKSnCyuzYDspvUb26,46,73,1.6362,0.953,0.4176,,,88,2.2578,2.1535,2.362,0.0984,2.6928,2.0419,1.815,0.7675,0.5771,2.3648,1.7365,1.8902,0,1.8877,False,0.2515,2.7182,0.6215,0.1788,0.0984,1.5651,1.6177,1.6546,1.8055,1.8897,2.0884,2.1881,1.5481,1.3498,141,1.7087,1.4515,138,1.8406,1.5745,131,1.9481,1.7587,105,2.0318,1.8906,97,2.2578,2.0419,88,2.5215,2.3254,68,gopro/max,True
richmond,results.jsonl,sequence,f7kKqIxeSyoEOp4UPXMYH3,16,27,1.874,1.4158,0.2445,,,31,2.2288,2.0664,2.3913,0.1587,2.6573,2.0417,1.8421,0.9103,0.5059,2.0237,1.7204,1.9619,0,1.8529,False,-0.0211,2.7369,0.3549,-0.0319,0.1642,1.7142,1.8064,1.906,1.9359,1.9714,2.0129,2.1579,1.5839,1.4606,46,1.7725,1.5743,43,1.8537,1.7078,44,1.8506,1.801,38,2.0905,1.9275,36,2.2288,2.0417,31,,,,gopro/max,False
richmond,results.jsonl,sequence,fP2wSATCUL7BEiah1jqdyJ,105,69,2.1279,0.7037,0.6693,,,237,2.5428,2.4188,2.6668,0.0614,2.9306,2.3837,2.4435,0.4682,0.8084,5.2187,2.2097,2.9011,0,2.2705,False,0.1426,3.3423,0.4149,0.3156,0.0826,1.6638,1.7576,1.9545,2.0599,2.1194,2.4448,2.7644,1.5767,1.4089,277,1.778,1.5665,282,1.9266,1.7791,263,2.1357,1.9649,250,2.2852,2.1379,241,2.5428,2.3837,237,2.9157,2.7282,204,gopro/max,True
richmond,results.jsonl,sequence,gfoIi7BvEYLVlNRyUasnCu,68,79,1.8135,0.7923,0.5631,,,118,2.4342,2.3238,2.5445,0.0941,2.8468,2.2421,1.8245,0.443,0.7572,4.1185,1.6296,1.9867,0,1.9207,False,0.1072,3.0158,0.6206,0.011,0.1187,1.5755,1.6817,1.7533,1.9561,2.1597,2.2551,2.4425,1.4342,1.2763,148,1.6668,1.4766,146,1.8376,1.7036,135,1.9753,1.843,132,2.2246,2.0718,123,2.4342,2.2421,118,2.659,2.4121,105,gopro/max,True
richmond,results.jsonl,sequence,jKtaJMek7wQl5AOH28qdcm,22,12,1.9836,1.031,0.4803,,,39,2.5366,2.2248,2.8484,0.1891,2.8729,2.2856,2.1816,0.2285,0.8952,9.5457,1.3554,6.3902,64,2.0416,False,0.058,3.2814,0.553,0.198,0.1891,1.7086,1.8394,1.9429,1.9193,2.085,2.245,2.5364,1.4676,1.2744,53,1.6745,1.4974,52,1.9438,1.8099,45,2.0306,1.8559,39,2.1099,1.9749,39,2.5366,2.2856,39,2.9969,2.7719,38,gopro/max,False
richmond,results.jsonl,sequence,lnw8f4xhDAzUSYIuL9P3pa,3,6,1.7049,0.5234,0.693,,,,,,,,,,,,,,,,,,,,,,,,1.6796,1.6469,1.6351,1.9839,1.9839,1.9839,2.9375,,,,,,,,,,,,,,,,,,,,,,gopro/max,False
