city,results,group,h_true,noise_scale,offset_px,seed,a_panos,a_sites,h_star_a,a_slope,b_views_2p6,b_2p6,b_2p6_null_sd_m,b_2p6_offset,h_star_b,b_slope,h_star_b_lo,h_star_b_hi,gap_raw,gap_fixed,a_err,b_2p6_err,b_fixed_err,b_at_1.4,b_at_1.6,b_at_1.8,b_at_2,b_at_2.3,b_at_2.6,b_at_3,implied_at_1.4,implied_at_1.6,implied_at_1.8,implied_at_2,implied_at_2.3,implied_at_2.6,implied_at_3,n_dets_in,n_dets_out,n_no_site,n_unprojectable,n_on_rig
richmond,results.jsonl,gopro/max,1.8,0.0,0.0,0,658,458,1.8,0.0,1113,2.1934,0.0261,2.195,1.9103,0.4506,1.888,1.9314,0.3934,0.1103,0.0,0.3934,0.1103,1.62,1.7617,1.9146,2.0055,2.0866,2.1934,2.3888,1.8,1.8,1.8,1.8,1.8,1.8,1.8,9526,8096,1430,0,10
richmond,results.jsonl,gopro/max,1.8,0.0,0.0,1,658,458,1.8,0.0,1113,2.1934,0.0261,2.195,1.9103,0.4506,1.888,1.9314,0.3934,0.1103,0.0,0.3934,0.1103,1.62,1.7617,1.9146,2.0055,2.0866,2.1934,2.3888,1.8,1.8,1.8,1.8,1.8,1.8,1.8,9526,8096,1430,0,10
richmond,results.jsonl,gopro/max,1.8,0.5,0.0,0,637,436,1.7753,0.2681,1030,2.2729,0.0292,2.3946,1.9157,0.5553,1.8871,1.944,0.4976,0.1404,-0.0247,0.4729,0.1157,1.5789,1.7377,1.8858,1.9979,2.1533,2.2729,2.4998,1.6557,1.7433,1.8084,1.8358,1.9073,1.9552,2.131,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,1.8,0.5,0.0,1,638,451,1.7497,0.2959,1071,2.2955,0.0293,2.4305,1.8929,0.5687,1.8616,1.9233,0.5458,0.1432,-0.0503,0.4955,0.0929,1.5572,1.7303,1.8738,1.9832,2.143,2.2955,2.4917,1.654,1.7118,1.7622,1.8302,1.8834,1.9901,2.1418,9526,8096,1430,0,10
richmond,results.jsonl,gopro/max,1.8,1.0,0.0,0,596,463,1.7945,0.6454,935,2.4654,0.0144,2.746,1.9817,0.7937,1.9136,2.0532,0.6709,0.1872,-0.0055,0.6654,0.1817,1.5196,1.6737,1.8519,1.9889,2.2351,2.4654,2.7945,1.5883,1.6773,1.8014,1.868,2.0872,2.2881,2.6314,9526,8096,1430,0,15
richmond,results.jsonl,gopro/max,1.8,1.0,0.0,1,594,460,1.8369,0.6176,970,2.4305,0.026,2.6202,1.9078,0.7742,1.8443,1.9725,0.5936,0.071,0.0369,0.6305,0.1078,1.5047,1.6713,1.8354,1.99,2.2039,2.4305,2.7605,1.5596,1.6771,1.8443,1.9408,2.1126,2.3049,2.5565,9526,8096,1430,0,15
richmond,results.jsonl,gopro/max,2.0,0.0,0.0,0,690,478,2.0,0.0,1203,2.2926,0.0272,2.3048,2.0597,0.4682,2.0364,2.0816,0.2926,0.0597,0.0,0.2926,0.0597,1.6651,1.8339,1.9722,2.1109,2.2291,2.2926,2.446,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.0,0.0,0.0,1,690,478,2.0,0.0,1203,2.2926,0.0272,2.3048,2.0597,0.4682,2.0364,2.0816,0.2926,0.0597,0.0,0.2926,0.0597,1.6651,1.8339,1.9722,2.1109,2.2291,2.2926,2.446,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.0,0.5,0.0,0,670,465,1.9605,0.2386,1169,2.339,0.0402,2.4729,2.0492,0.5683,2.0171,2.0803,0.3785,0.0887,-0.0395,0.339,0.0492,1.5949,1.7972,1.9524,2.0866,2.2233,2.339,2.553,1.7902,1.869,1.9409,2.0073,2.0495,2.115,2.1847,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.0,0.5,0.0,1,672,486,1.9437,0.2759,1183,2.3785,0.0266,2.5287,2.0424,0.5786,2.0098,2.0742,0.4348,0.0987,-0.0563,0.3785,0.0424,1.5827,1.793,1.9381,2.0585,2.252,2.3785,2.5274,1.7723,1.8539,1.9271,1.9542,2.0536,2.1157,2.2309,9526,8096,1430,0,13
