city,results,group,h_true,noise_scale,offset_px,seed,a_panos,a_sites,h_star_a,a_slope,b_views_2p6,b_2p6,b_2p6_null_sd_m,b_2p6_offset,b_2p6_raw,h_star_b,b_slope,b_amplification,h_star_b_lo,h_star_b_hi,h_star_b_local,h_star_b_local_extrapolated,gap_raw,gap_fixed,gap_local,a_err,b_2p6_err,b_fixed_err,b_local_err,b_at_1.4,b_at_1.6,b_at_1.8,b_at_2,b_at_2.3,b_at_2.6,b_at_3,b_raw_at_1.4,b_raw_at_1.6,b_raw_at_1.8,b_raw_at_2,b_raw_at_2.3,b_raw_at_2.6,b_raw_at_3,implied_at_1.4,implied_at_1.6,implied_at_1.8,implied_at_2,implied_at_2.3,implied_at_2.6,implied_at_3,n_dets_in,n_dets_out,n_no_site,n_unprojectable,n_on_rig
richmond,results.jsonl,gopro/max,2.0,0.5,-4.0,2,586,421,1.658,0.2986,938,2.2205,0.0472,2.5115,1.9584,1.815,0.5416,2.1813,1.786,1.8425,1.8627,False,0.5625,0.1571,0.2047,-0.342,0.2205,-0.185,-0.1373,1.5519,1.7212,1.836,1.9211,2.073,2.2205,2.4618,1.3834,1.5242,1.6302,1.6973,1.8231,1.9584,2.1791,1.5739,1.6572,1.716,1.7499,1.8341,1.9161,2.0828,9526,8096,1430,0,12
richmond,results.jsonl,gopro/max,2.0,0.5,-4.0,3,583,408,1.6749,0.3194,908,2.2593,0.0329,2.5465,1.975,1.8362,0.568,2.3146,1.8051,1.866,1.8841,False,0.5844,0.1613,0.2091,-0.3251,0.2593,-0.1638,-0.1159,1.5627,1.7126,1.8531,1.9268,2.083,2.2593,2.5048,1.3927,1.5284,1.6395,1.7084,1.8468,1.975,2.2387,1.5851,1.6632,1.7302,1.7637,1.859,1.9546,2.119,9526,8096,1430,0,10
richmond,results.jsonl,gopro/max,2.0,0.5,-4.0,4,586,413,1.7099,0.298,928,2.2213,0.0431,2.4947,1.9875,1.875,0.5435,2.1906,1.8455,1.9045,1.9028,False,0.5114,0.1651,0.1929,-0.2901,0.2213,-0.125,-0.0972,1.579,1.7538,1.8579,1.9453,2.1193,2.2213,2.5045,1.4089,1.559,1.6554,1.7514,1.8768,1.9875,2.2493,1.6111,1.7011,1.7506,1.7939,1.8552,1.9352,2.1359,9526,8096,1430,0,9
richmond,results.jsonl,gopro/max,2.0,0.5,-4.0,5,584,391,1.6432,0.3454,907,2.2541,0.0517,2.5053,2.0284,1.8221,0.5753,2.3548,1.7919,1.8509,1.8373,False,0.6108,0.1789,0.194,-0.3568,0.2541,-0.1779,-0.1627,1.5672,1.7157,1.817,1.9256,2.076,2.2541,2.5183,1.3952,1.5242,1.6097,1.694,1.8313,2.0284,2.2529,1.6115,1.6355,1.6739,1.7383,1.8241,1.9611,2.1628,9526,8096,1430,0,11
richmond,results.jsonl,gopro/max,2.0,0.5,-2.0,2,632,447,1.7783,0.2841,1056,2.2451,0.0399,2.4824,2.0244,1.8911,0.552,2.2323,1.8615,1.9199,1.9812,False,0.4668,0.1128,0.2029,-0.2217,0.2451,-0.1089,-0.0188,1.5703,1.717,1.8989,1.9898,2.124,2.2451,2.5,1.4222,1.5549,1.7013,1.7859,1.8996,2.0244,2.2431,1.6703,1.727,1.8068,1.8396,1.9081,1.9858,2.1503,9526,8096,1430,0,12
richmond,results.jsonl,gopro/max,2.0,0.5,-2.0,3,633,438,1.8037,0.2854,1064,2.3102,0.0505,2.5157,2.0545,1.9225,0.5516,2.2304,1.892,1.9522,1.9646,False,0.5064,0.1187,0.1608,-0.1963,0.3102,-0.0775,-0.0354,1.5794,1.7536,1.8966,1.9792,2.1388,2.3102,2.4851,1.4241,1.5931,1.7133,1.8054,1.927,2.0545,2.2311,1.6803,1.7521,1.8167,1.8605,1.934,2.0166,2.1577,9526,8096,1430,0,11
richmond,results.jsonl,gopro/max,2.0,0.5,-2.0,4,630,448,1.8407,0.2761,1065,2.3126,0.054,2.5235,2.0748,1.9727,0.5437,2.1918,1.9413,2.0023,2.0218,False,0.4719,0.132,0.181,-0.1593,0.3126,-0.0273,0.0218,1.6091,1.7811,1.9066,2.0103,2.1684,2.3126,2.5054,1.4609,1.6138,1.7397,1.8223,1.9505,2.0748,2.2676,1.6934,1.7937,1.8435,1.9026,1.9501,2.0287,2.1742,9526,8096,1430,0,11
richmond,results.jsonl,gopro/max,2.0,0.5,-2.0,5,632,425,1.7909,0.3116,1043,2.2743,0.037,2.516,2.0362,1.9249,0.5552,2.2483,1.8961,1.953,1.9621,False,0.4834,0.134,0.1712,-0.2091,0.2743,-0.0751,-0.0379,1.6061,1.7533,1.8801,1.9813,2.1299,2.2743,2.53,1.449,1.5976,1.7037,1.7823,1.8988,2.0362,2.3014,1.6953,1.7408,1.8033,1.8308,1.9053,2.0177,2.2174,9526,8096,1430,0,11
richmond,results.jsonl,gopro/max,2.0,0.5,-1.0,2,654,457,1.8456,0.2749,1121,2.2977,0.0239,2.5153,2.0581,1.9593,0.5525,2.2347,1.9298,1.9877,2.0437,False,0.4521,0.1137,0.1981,-0.1544,0.2977,-0.0407,0.0437,1.5935,1.7567,1.9127,2.0231,2.1644,2.2977,2.5112,1.446,1.5946,1.7402,1.849,1.9564,2.0581,2.2491,1.7126,1.7918,1.8449,1.8967,1.949,2.0278,2.186,9526,8096,1430,0,12
richmond,results.jsonl,gopro/max,2.0,0.5,-1.0,3,642,436,1.8706,0.2902,1108,2.3359,0.0294,2.5178,2.101,1.9516,0.5835,2.4012,1.9181,1.984,2.0477,False,0.4652,0.0809,0.1771,-0.1294,0.3359,-0.0484,0.0477,1.5766,1.755,1.8863,2.0292,2.1454,2.3359,2.5389,1.4351,1.6191,1.7334,1.8565,1.9606,2.101,2.2628,1.7181,1.8043,1.8638,1.9133,1.9822,2.0729,2.206,9526,8096,1430,0,11
