test,city,association,vintage,bin,n,median_depth,median_implied,vintage_median_depth,p68_abs_resid
T1,sao_paulo,per-pano,2023,<= -0.40,12,1.708,2.295,2.264,
T1,sao_paulo,per-pano,2023,"(-0.40, -0.15]",57,2.063,2.361,2.264,
T1,sao_paulo,per-pano,2023,"(-0.15, +0.15)",344,2.286,2.465,2.264,
T1,sao_paulo,per-pano,2023,"[+0.15, +0.40)",66,2.438,2.635,2.264,
T1,sao_paulo,per-pano,2023,>= +0.40,0,,,2.264,
T1,sao_paulo,per-pano,2024,<= -0.40,84,1.736,2.105,2.269,
T1,sao_paulo,per-pano,2024,"(-0.40, -0.15]",351,2.047,2.395,2.269,
T1,sao_paulo,per-pano,2024,"(-0.15, +0.15)",1942,2.289,2.51,2.269,
T1,sao_paulo,per-pano,2024,"[+0.15, +0.40)",297,2.452,2.58,2.269,
T1,sao_paulo,per-pano,2024,>= +0.40,0,,,2.269,
T1,sao_paulo,per-pano,2025,<= -0.40,72,1.718,2.103,2.232,
T1,sao_paulo,per-pano,2025,"(-0.40, -0.15]",300,2.011,2.321,2.232,
T1,sao_paulo,per-pano,2025,"(-0.15, +0.15)",1504,2.247,2.491,2.232,
T1,sao_paulo,per-pano,2025,"[+0.15, +0.40)",364,2.426,2.545,2.232,
T1,sao_paulo,per-pano,2025,>= +0.40,0,,,2.232,
T1,sao_paulo,2.3,2023,<= -0.40,15,1.681,2.576,2.264,
T1,sao_paulo,2.3,2023,"(-0.40, -0.15]",61,2.062,2.516,2.264,
T1,sao_paulo,2.3,2023,"(-0.15, +0.15)",347,2.286,2.472,2.264,
T1,sao_paulo,2.3,2023,"[+0.15, +0.40)",66,2.438,2.589,2.264,
T1,sao_paulo,2.3,2023,>= +0.40,0,,,2.264,
T1,sao_paulo,2.3,2024,<= -0.40,98,1.736,2.496,2.269,
T1,sao_paulo,2.3,2024,"(-0.40, -0.15]",383,2.046,2.505,2.269,
T1,sao_paulo,2.3,2024,"(-0.15, +0.15)",1956,2.288,2.52,2.269,
T1,sao_paulo,2.3,2024,"[+0.15, +0.40)",295,2.452,2.543,2.269,
T1,sao_paulo,2.3,2024,>= +0.40,0,,,2.269,
T1,sao_paulo,2.3,2025,<= -0.40,84,1.702,2.396,2.232,
T1,sao_paulo,2.3,2025,"(-0.40, -0.15]",320,2.009,2.456,2.232,
T1,sao_paulo,2.3,2025,"(-0.15, +0.15)",1519,2.245,2.504,2.232,
T1,sao_paulo,2.3,2025,"[+0.15, +0.40)",362,2.426,2.527,2.232,
T1,sao_paulo,2.3,2025,>= +0.40,0,,,2.232,
T4,sao_paulo,per-pano,all,Q1 0.000-0.053,1489,,,,0.3239
T4,sao_paulo,2.3,all,Q1 0.000-0.054,1518,,,,0.3484
T4,sao_paulo,per-pano,all,Q2 0.053-0.117,1489,,,,0.3558
T4,sao_paulo,2.3,all,Q2 0.054-0.118,1519,,,,0.3658
T4,sao_paulo,per-pano,all,Q3 0.117-0.204,1489,,,,0.3357
T4,sao_paulo,2.3,all,Q3 0.118-0.206,1518,,,,0.3495
T4,sao_paulo,per-pano,all,Q4 0.204-1.662,1490,,,,0.3497
T4,sao_paulo,2.3,all,Q4 0.206-1.662,1519,,,,0.382
